漢字	同音同調	同音異調	近音同調	近音異調	同部首同筆畫數
誤	戊晤惡寤騖物勿悟塢霧兀務軏鎢堊	武汙鵡巫侮吾亡誣無吳午五烏毋伍惡嗚鼯嫵於唔憮屋舞圬鎢捂污梧蕪蜈	裕瘉澦禦域籲嫗馭喻獄玉欲譽禺熨峪昱燠癒寓愈諭御谷郁預語遇與煜慾芋育聿尉俞堉鬱豫浴毓	妤娛瘀宇逾褕竽蝓雨雩渝覦迂漁於語紆與噢齬餘余俞歟羽虞盂隅榆敔愚魚圉禺禹嶼輿愉圄淤腴臾諛庾圩瑜予萸於	誑誓語誘誚誧誦誥誣誡認誌說誨
說	粵越岳耀閱悅躍月樂蛻稅鑰刖軏嶽藥曜籥睡玥	數誰鑠約水朔爍妁曰勺碩蟀帥率	誶穗娑邃隧簑遂梭碎歲嗦縮唆莎燧蓑祟	鎖髓隨所隋瑣綏睢索雖	誑誓語誘誚誧誦誥誤誣誡認誌誨
誥	告	縞糕槁皋高杲稿搞篙攪羔睪膏	購雊構夠媾扣搆寇銬靠佝垢釦遘叩詬犒	勾狗句枸拷考烤鉤溝苟口	誑誓語誘誚誧誦誤誣誡認誌說誨
誨	諱蟲惠晦毀蕙喙燴慧燬繪穢彙虺賄彗悔會卉匯潰	諱詼蟲茴晦蕙燴灰墮揮燬彙虺彗賄悔回迴卉潰麾恢惠暉毀喙慧繪穢輝會徽蛔匯			誑誓語誘誚誧誦誥誤誣誡認誌說
誘	幼鼬宥右柚祐有侑莠又囿佑釉	游幽黝猶猷遊攸油悠由牖鈾有郵友疣莠酉尤優魷憂	樂要鑰耀藥拗曜鷂	要淆喲夭崤咬謠杳瑤僥窈堯搖邀洮吆舀榣腰餚姚麼遙餚窯妖爻	誑誓語誚誧誦誥誤誣誡認誌說誨
誑	狂	壙劻匡礦況筐框曠眶		獷輥鯀琨焜滾錕昆梱袞睏捆髡逛綑廣棍困洸胱坤光崑	誓語誘誚誧誦誥誤誣誡認誌說誨
誚	殼鞘俏蹺撬竅翹峭	樵巧雀憔蹺敲撬悄橇譙愀鍬瞧鵲喬僑橋翹	教究較舊臼救舅咎轎窖疚就廄校叫覺醮柩	毬啾皎嬌邱揪鳩灸囚蕉九秋澆餃跤球狡鮫膠仇攪韭赳蛟久教蚯姣裘驕玖糾僥焦詨龜角泅交椒求梂丘礁較勦酒郊腳繳鉸酋絞矯剿鞦鰍嚼	誑誓語誘誧誦誥誤誣誡認誌說誨
誧	普埔溥譜圃浦	葡鋪濮樸釙蹼樸莆僕暴撲撲瀑脯菩蒲璞曝噗僕匍			誑誓語誘誚誦誥誤誣誡認誌說誨
豪	貉毫嗥濠蚵壕鶴蠔嚎號	皓昊浩蒿鎬郝顥鄗好號涸耗	篌芣猴侯喉	厚吼後堠否鱟逅缶候後	
貍	喱璃釐離麗犁犛驪籬狸梨黎罹漓蠡蜊	儷澧醴哩歷靂力慄立溧娌琍粒理利厲邐俐蠣蠡俚莉鬲栗禮麗鯉礫礪唳痢蒞癘壢戾曆吏笠浬例釙荔欐李鋰裡隸酈裡勵瀝	妮尼泥霓呢倪怩	暱泥睨膩溺你擬妳旎匿逆	貌
貌	懋貿帽瑁茂耄冒	髦泖錨毛茆卯貓茅矛		眸某繆牟謀	貍
賓	繽彬瀕豳儐濱檳	殯儐臏鬢	兵冰	丙秉並稟餅柄病屏鉼併摒並炳	賑賒
賑	震陣娠鴆枕鎮朕振	禎枕診貞縝真針楨斟疹臻珍砧偵榛甄箴	政脹掙證仗長証正幛臟帳贈葬杖藏丈障賬鄭症漲奘瘴幀	睜拯髒長征錚獐正箏怎猙繒崢贓憎怔漳漲曾掙增癥蟑樟爭璋整臧蒸徵掌臢丁諍章彰張	賒賓
賒	奢	麝攝舌捨赦甚涉葉蛇拾設什社射歙捨		澀穡瑟嗇圾色塞	賑賓
赫	嚇郝和喝鶴賀暍荷	蓋訶盍荷貉禾曷盒閡褐閤呵嗑合郃河和翮紇喝闔核劾何涸			
趙	召棹照兆肇罩炤櫂詔晁	釗召著朝昭招嘲沼找爪晁	皂胄噪驟縐造奏冑紂揍宙晝譟灶咒籀皺躁燥	鄹澡遭軸帚周妯藻鄒蚤糟棗陬粥舟走肘鑿早啁週州洲	趕
趕	橄敢感稈桿	乾竿甘疳柑淦幹榦尷干坩贛桿肝	侃坎檻砍崁	戡看瞰勘刊堪	趙
跼	掬桔侷菊局鞠橘	苣炬颶具巨疽鉅倨劇遽屨距俱狙聚據齟咀莒舉懼踞瞿蛆車駒拘句鋸沮足拒居矩	徐劬渠麴衢瞿璩	敘絮蓄取許圈鬚煦砠曲需區勗驅咻續噓序趨嶇墟胥去恤畜娶洫婿酗趣瞿吁卹漆戌蛆須屈齲緒頊訏蛐軀虛栩旭	
輔	頫斧莆甫父脯俯釜府撫腑腐	氟縛匐馥覆附膚鈇複夫蝠紼扶芾幅紱袱賻傅付拂涪赴彿服賦芙俘訃富阜孚弗輻福浮腹伏符菔副復敷怫婦孵趺咐父麩負伕駙	唬琥許虎	瓠壺鬍蝴鵠斛惚戲呼戶滬沍楛護狐互胡湖囫葫扈弧瑚乎忽糊	輕輓輒
輒	蜇哲折摺摘懾謫轍褶	浙遮這著蔗螫赭鷓者宅	則擇澤賊責笮嘖窄咋	仄側怎	輕輔輓
輕	青傾鯖氫頃卿蜻清	傾磬慶罄檠晴請頃親擎情	驚涇粳睛矜精筋襟更觔兢侵晶旌欽京巾莖金鯨親津禁荊菁嶔浸斤經今	竟頸景靖燼秦勁警靜擒縉徑禽謹噙瑾沁琴進芹盡井饉晉痙緊勤競噤淨僅禁儘寢鏡覲憬浸敬撳阱璟錦近逕境	輔輓輒
輓	宛皖晚綰碗莞蜿娩婉挽	惋彎灣丸完莞頑腕蜿萬玩汍剜豌	遠	緣媛員原園圓鳶援湲遠袁宛沅冤院源願轅願騵怨猿爰元苑垣淵鴛	輕輔輒
辣	蠟剌臘落	喇拉剌邋啦	納那鈉吶訥娜捺	那拿哪	
遠	院苑媛願願怨	緣媛員原園圓鳶援湲袁宛沅冤院源願轅願騵怨猿爰元苑垣淵鴛	惋莞碗腕蜿萬挽宛玩輓晚皖綰娩婉	惋彎灣丸完碗莞頑腕蜿挽萬宛玩輓皖晚綰汍剜豌娩婉	遜遝遞遘遙遛遣遢
遘	購構雊垢媾夠詬搆	勾狗句枸鉤溝苟	靠誥釦佝告叩扣犒寇銬	縞糕槁皋高考烤杲稿搞攪篙羔睪拷膏口	遜遝遞遙遛遣遢遠
遜	殉汛馴徇訊巽蕈潠訓迅	燻巡潯徇薰循醺馴勛尋詢璿洵荀勳旬	雋浚郡峻駿濬俊蕈菌竣	炯窘雄迥凶鈞龜兇軍熊兄君均洶匈胸	遝遞遘遙遛遣遢遠
遣	淺譴	乾簽欠前塹黔倩愆鉛千箝遷韆鈐籤鉗阡嵌仟縴歉騫虔潛謙牽搴錢	減筧剪鹼瞼繭囝柬撿檢簡揀儉	件檻箋劍健僭見縑艦兼姦韉毽漸殲諫奸艱濺踐監箭間閒肩尖湔薦腱鍵建堅餞鑑鑒菅澗緘賤薦煎	遜遝遞遘遙遛遢遠
遙	洮淆崤謠榣瑤僥餚姚餚窯堯搖爻	邀要喲耀夭咬吆鷂杳舀腰樂窈麼鑰藥妖拗曜	鈾游郵猶猷疣遊尤油魷由	幼幽黝攸鼬誘悠宥右柚牖祐有侑莠友又酉囿佑優憂釉	遜遝遞遘遛遣遢遠
遞	娣締諦帝弟的地棣蒂第	滴低鏑荻迪底的嘀狄敵氐牴砥柢犒翟滌芽邸笛抵詆嫡	涕悌屜剃替銻逖嚏惕	剔題梯堤蹄踢啼體隄緹提	遜遝遘遙遛遣遢遠
遢	遝漯榻蹋踏獺塌躂撻	他塔牠她它塌	大	瘩答搭打達韃褡靼怛躂	遜遝遞遘遙遛遣遠
遝	漯榻蹋踏獺遢塌躂撻	他塔牠她它塌	大	瘩答搭打達韃褡靼怛躂	遜遞遘遙遛遣遢遠
遛	劉留泵琉瀏流榴硫瘤	霤鉚柳餾陸六溜	遼寮嘹僚繚燎聊潦寥撩療牛	尿廖扭撩料妞燎了暸拗鈕鳥紐忸瞭嬝裊	遜遝遞遘遙遣遢遠
鄙	弊璧必筆敝鉍薜嗶匕痺箄沘妣襞避臂斃庇畢俾愎碧陛賁泌蹕篦蔽詖埤彼辟閉弼祕婢比壁睥幣裨	弊筆璧必敝鉍薜匕嗶痺箄沘妣襞避臂斃逼庇畢俾愎陛碧賁泌蹕篦蔽詖彼埤辟閉弼婢祕比壁睥幣鼻裨			鄘鄞
鄘	擁傭臃邕雍慵庸壅	擁踴泳傭永湧勇傭甬蛹臃用俑詠湧壅恿	嗡瘟翁溫暈氳塭	員玟蓊刎耘文聞孕吻熨隕慍芸雲韻雯運紋紊蚊筠甕昀暈醞抆蘊汶紜允勻問雲穩免	鄙鄞
鄞	垠夤吟銀齦淫簷寅霪	癮聽胤印飲因尹茵音湮姻陰縯慇氤蔭殷隱引蚓	瑩鍚佯瘍洋颺楊羊徉贏盈縈蠅煬螢烊迎揚營熒嬴昜楹暘塋瀛陽	纓罌景郢仰鶯櫻鴦映怏央秧鸚應英樣鷹漾穎恙鞅硬煬泱養殃膺癢嬰瑛嚶瓔氧影	鄘鄙
酵	效笑嘯校肖傚孝	梟逍囂哮消篠曉削硝銷小霄驍簫嘐瀟蕭宵學	教溴袖救窖就廄岫柩醮究較舊秀臼舅咎鏽轎疚校宿叫嗅臭覺繡	啾朽修皎嬌揪鳩灸羞蕉九澆餃跤狡鮫脩膠攪韭宿赳蛟久教姣驕玖糾僥焦詨角椒交咻礁較勦酒郊腳繳鉸絞剿矯休嚼	酸酴酷
酸	痠	蒜算	栓閂拴	涮	酴酵酷
酷	庫褲	骷窟苦楛枯哭	錮告顧估僱故固雇	菰凸鴣鵠罟賈鼓穀估呱轂孤股谷滑沽蠱牯蛄瞽咕辜古詁鈷姑骨家	酸酴酵
酴	徒凸荼余塗屠突圖途	禿土兔吐菟	髑瀆櫝讀犢黷牘毒獨	杜蠹堵睹篤賭度鍍嘟渡肚都督妒	酸酵酷
鉸	較勦餃姣皎狡腳僥繳攪角絞剿矯	教礁較澆跤姣轎驕窖郊鮫嬌膠焦詨校叫交椒蛟覺醮嚼蕉	九朽巧雀悄酒篠曉玖糾小愀韭鵲赳宿灸久	毬溴囂袖啾蹺修哮消廄邱揪簫肖鳩竅囚峭羞究秋逍舊俏秀撬舅球誚硝疚銷橇脩仇瞧宿嗅傚蕭宵橋蚯梟樵鞘憔救酵裘削糾就效笑龜霄驍泅殼嘐求喬孝咻岫梂柩丘嘯臼敲咎鏽譙酋鍬校僑臭瀟鞦休鰍繡學翹	鉻銅銖銑銀鉼銓銜銬銘銨
銀	垠夤吟鄞齦淫簷寅霪	癮聽胤印飲因尹茵音湮姻陰縯慇氤蔭殷隱引蚓	瑩鍚佯瘍洋颺楊羊徉贏盈縈蠅煬螢烊迎揚營熒嬴昜楹暘塋瀛陽	纓罌景郢仰鶯櫻鴦映怏央秧鸚應英樣鷹漾穎恙鞅硬煬泱養殃膺癢嬰瑛嚶瓔氧影	鉻銅鉸銖銑鉼銓銜銬銘銨
銅	瞳同潼桐峒僮童彤	通筒桶痛統恫慟	囤屯臀飩豚	鈍蹲棟惇東冬鼕洞墩動沌懂囤褪董恫頓遁燉胴吞躉噸凍盾盹敦咚	鉻鉸銖銑銀鉼銓銜銬銘銨
銘	瞑名螟酩明茗冥鳴暝	命暝	岷玟民	閩澠憫敏抿愍泯皿閔湣	鉻銅鉸銖銑銀鉼銓銜銬銨
銖	誅硃蛛豬諸朱藷茱侏珠株	主軸杼苧註築柱矚囑朮築屬燭煮鑄住渚助竹竺佇蛀拄箸貯駐躅逐注祝	租	詛卒祖俎足組阻族嗾	鉻銅鉸銑銀鉼銓銜銬銘銨
鉻	各個箇	郃哥歌咯格戈骼疙個鎘蛤擱割胳革隔閣膈閤鬲葛鴿	髁嗑可課喀緙克刻溘恪客剋	軻坷稞棵渴磕可咳殼窠柯科刻顆苛蚵瞌蝌	銅鉸銖銑銀鉼銓銜銬銘銨
銓	蜷卷詮犬踡佺荃全權痊泉拳	圈甽犬勸畎券		倦卷雋捐捲鐫眷娟圈絹身涓鵑狷	鉻銅鉸銖銑銀鉼銜銬銘銨
銜	嫌嫻舷閒閑絃啣鹹涎賢鹹弦	僩纖峴餡顯限莧銑暹秈癬現險霰腺祆姍羨鮮憲仙獻蜆陷掀縣先線蘚		件劍見縑韉毽漸囝簡筧減肩建鹼瞼堅餞鑑鑒澗賤撿揀儉煎箋檻健僭兼艦姦殲奸諫艱柬檢濺踐監箭間閒尖湔薦腱剪鍵繭菅緘薦	鉻銅鉸銖銑銀鉼銓銬銘銨
銨	諳鞍安氨庵鵪	菴黯暗按案俺岸			鉻銅鉸銖銑銀鉼銓銜銬銘
鉼	丙柄秉屏稟餅炳	病兵併並摒並冰		繽彬瀕殯豳儐濱臏檳鬢賓	鉻銅鉸銖銑銀銓銜銬銘銨
銑	顯蜆癬險鮮蘚	僩纖峴餡涎限嫌莧舷暹銜啣鹹秈現霰嫻祆姍腺閒鮮絃閑羨鹹憲獻仙弦蜆陷掀縣線先賢	減筧剪鹼瞼繭囝柬撿檢簡揀儉	件檻箋劍健僭見縑艦兼姦韉毽漸殲諫奸艱濺踐監箭間閒肩尖湔薦腱鍵建堅餞鑑鑒菅澗緘賤薦煎	鉻銅鉸銖銀鉼銓銜銬銘銨
閡	嗑合蓋河郃翮和紇闔盍核荷貉禾曷劾盒何褐閤涸	嚇郝和訶喝鶴賀暍荷赫呵			閨閩閣閤閥
閨	龜珪圭瑰鮭皈傀規歸	鬼桂鱖癸軌跪詭晷櫃貴	窺盔虧	匱睽喟魁傀奎愧夔葵餽揆簣逵潰	閩閡閣閤閥
閩	澠憫敏抿愍泯皿閔湣	岷玟民		瞑名螟酩明命茗冥鳴銘暝	閨閡閣閤閥
閣	郃革隔格咯骼膈閤葛鬲鎘蛤	哥歌各戈疙個箇鉻擱割胳葛鴿	咳殼	軻課稞渴剋髁柯蚵瞌嗑恪客溘坷棵磕可喀科克窠緙刻苛顆蝌	閨閩閡閤閥
閥	乏法筏砝伐罰	發琺法伐髮	蛤	哈	閨閩閡閣閤
閤	蓋咯盍荷鎘蛤貉禾曷盒閡隔褐閣膈葛嗑合郃河翮和格紇闔骼核劾革何鬲涸	嚇哥和歌訶各喝戈疙暍荷個赫箇鉻擱割胳郝鶴賀葛呵鴿	咳殼	軻課稞渴剋髁柯蚵瞌嗑恪客溘坷棵磕可喀科克窠緙刻苛顆蝌	閨閩閡閣閥
隙	翕潟戲夕係繫矽系汐歙細	攜烯嬉蓆膝惜璽洗溪析媳棲息蟋羲錫蹊昔褶曦淅悉熹禧犀行蜥稀希吸習徙晰畦兮鰓熙釐喜谿譆犧唏晞嘻西席奚熄襲僖檄	洎暨寄忌祭薊騎芰際劑繼薺記季稷髻霽技紀覬既悸計躋繫濟妓鯽驥冀	棘璣羈疾肌集脊己藉雞磯乩積幾績期屐機楫瘠嵇跡蹟基級極居戢畸姬畿其擊輯寂給犄飢及嫉癘幾唧箕麂擠急伋奇吉譏激圾即汲勣稽吃亟躋籍岌嘰濟戟饑	障際
障	脹丈賬長仗幛漲帳杖瘴	長獐掌漳漲蟑樟彰章璋張	陣枕鴆臟葬朕賑震藏娠奘鎮振	禎髒枕診貞縝真怎針楨斟疹臻贓珍臧砧臢偵榛甄箴	隙際
際	洎暨寄忌祭薊騎芰劑繼薺記季稷髻霽技紀覬既悸計躋繫濟妓鯽驥冀	棘璣羈疾肌集脊己藉雞磯乩積幾績期屐機楫瘠嵇跡蹟基級極居戢畸姬畿其擊輯寂給犄飢及嫉癘幾唧箕麂擠急伋奇吉譏激圾即汲勣稽吃亟躋籍岌嘰濟戟饑	愒系汐翕戲隙妻細磧棄汽係器矽企訖亟迄泣潟契夕繫憩砌緝歙氣	攜歧琪烯齊嬉蓆琦耆膝棋騎妻惜璽祺洗溪豈綺祁析乞啟祇期媳祈棲枝漆慼息蟋羲起錫蹊錡褶昔曦淅熹其悉淇旗禧犀萋麒行蜥淒稀希吸習欺臍徙畦晰鰭兮崎鰓圻杞熙奇岐柒衹釐喜譆谿稽犧唏嘻悽晞西席熄奚戚七襲檄僖	障隙
雌	辭疵祠茨瓷詞慈磁差	辭賜此疵次祠詞差伺茨廁瓷刺慈磁	蚩癡踟匙癡吃栘弛持馳嗤池魑遲墀笞喫	翅熾啻尺蚩癡匙敕栘齒弛馳嗤魑飭遲笞喫赤褫恥呎踟侈癡叱吃持斥池墀	雒
雒	烙珞駱洛酪咯絡犖落	騾羅螺籮蘿玀鑼儸囉裸邏鏍	諾懦糯	挪娜	雌
需	須墟胥訏鬚虛吁戌噓	敘恤畜絮洫蓄婿酗卹許緒頊徐煦勗咻栩續旭序	車駒俱狙拘疽鋸沮居蛆	苣炬颶具桔巨鉅倨劇遽屨距俱侷掬聚據齟咀莒舉懼踞瞿橘跼局句菊鋸沮足鞠拒矩	
靼	瘩答達韃怛	瘩答搭大打褡躂		他塔牠漯它獺遢遝榻她踏蹋塌躂撻	鞅
鞅	養泱仰鴦殃氧央秧癢	鍚佯仰瘍鴦洋怏颺楊羊徉央秧樣漾恙煬烊養泱揚殃癢昜暘氧陽	癮聽飲因尹茵音姻陰湮縯慇氤殷隱引蚓	夤聽銀飲尹茵寅湮姻慇殷引胤癮鄞印因齦淫簷音垠陰吟縯氤蔭隱蚓霪	靼
韶	勺芍杓	召邵紹捎哨燒少稍梢	熟	叟守壽受綬嗽颼嗾搜售餿蒐繅搔嫂狩騷收手獸瘦授艘首藪掃擻	
頗	剖叵	醱破迫粕陂鄱樸魄波婆泊坡珀潑			領
領	嶺	齡蛉菱拎櫺玲翎聆昤鴒泠令苓凌陵綾鈴另靈羚零伶	擰懍凜	痳霖嚀檸麟鄰淋磷躪遴賃琳鱗您凝獰藺林燐寧擰吝佞轔濘臨璘	頗
颯	薩卅	灑撒	霎廈煞	殺傻砂杉鯊莎裟紗煞沙	颱
颱	薹苔抬檯跆台臺	泰苔汰態胎太		迨黛大貸怠逮岱待玳帶呆殆代戴袋歹	颯
餃	較勦姣皎狡腳僥繳鉸攪角絞剿矯	教礁較澆跤姣轎驕窖郊鮫嬌膠焦詨校叫交椒蛟覺醮嚼蕉	九朽巧雀悄酒篠曉玖糾小愀韭鵲赳宿灸久	毬溴囂袖啾蹺修哮消廄邱揪簫肖鳩竅囚峭羞究秋逍舊俏秀撬舅球誚硝疚銷橇脩仇瞧宿嗅傚蕭宵橋蚯梟樵鞘憔救酵裘削糾就效笑龜霄驍泅殼嘐求喬孝咻岫梂柩丘嘯臼敲咎鏽譙酋鍬校僑臭瀟鞦休鰍繡學翹	餉餌餅
餅	丙柄秉鉼屏稟炳	病兵併並摒並冰		繽彬瀕殯豳儐濱臏檳鬢賓	餉餌餃
餌	邇耳爾洱	兒而貳二			餉餃餅
餉	響享饗想	祥像湘詳襄嚮降翔庠鄉鑲瓖橡巷廂象箱香項向相	覲蔣謹講饉瑾槳緊錦獎僅儘	信心彊燼芯馨降筋縉漿進韁訢醬巾新津噤莘儘匠覲疆斤近昕今欣江鋅矜薑勁襟觔絳僵盡金晉僅禁浸薪辛尋釁姜將強	餌餃餅
駁	荸搏帛蔔伯博檗脖勃白鈸膊鉑泊舶柏渤箔薄	玻撥亳般簸薜播檗菠蘗跛缽剝擘薄			
骯	醃	盎昂	恩嗯		骰
骰		殺篩曬曬		腮鰓賽塞	骯
髦	錨毛茅矛	懋泖貌貿帽茆瑁卯貓茂耄冒	眸繆牟謀	某	
魁	夔葵睽揆奎逵	匱愧窺盔餽虧喟傀簣潰		鱖跪鮭皈規傀貴閨桂鬼龜圭癸珪軌詭瑰晷櫃歸	魂
魂	餛琿混渾	葷輥混昏渾婚	泓隍磺皇宏凰篁弘黌虹簧黃鴻湟韹洪蝗徨紅訌閎璜煌遑惶	哄謊汞鬨荒晃恍幌薨肓烘洸轟慌	魁
鳴	瞑名螟酩明茗冥銘暝	命暝	岷玟民	閩澠憫敏抿愍泯皿閔湣	鳶鳳
鳶	宛淵冤鴛	緣院源媛員願原轅願園圓援騵怨猿遠湲元爰袁苑沅垣	彎灣豌莞剜蜿	惋丸完碗莞頑蜿腕萬挽宛玩輓晚皖綰汍娩婉	鳴鳳
鳳	縫諷奉俸	瘋峰豐諷逢豐馮楓縫鋒烽蜂風封	分恨忿憤份糞橫奮	棻痕氛恆吩分汾很芬墳狠焚桁紛亨衡橫哼粉	鳶鳴
麼	痲嘛麻蟆	碼默瑪沒謨秣漠馬陌膜磨寞抹末模脈糢嘛貊墨歿驀魔莫螞摩嬤媽摹摸蘑茉罵嗎蟆沫			
鼻		弊璧必筆鉍敝薜嗶匕痺箄沘妣襞避臂斃逼庇畢俾愎碧陛賁泌鄙蹕篦蔽詖埤彼辟閉弼婢祕比壁睥幣裨			
齊	歧淇其琪旗齋琦耆麒棋摘騎祺臍畦鰭祁崎圻奇岐衹祇期祈枝錡	愒萋祭宅淒妻欺翟債溪豈綺窄磧棄杞乞寨汽啟柒器棲企訖谿稽漆慼亟迄悽泣起契憩責戚砌七緝氣	棘戢疾擊輯寂集脊及嫉藉唧災急伋吉圾即栽哉楫瘠汲吃亟籍級極岌	洎璣羈暨忌肌祭脊己騎芰雞磯乩劑積仔幾記績期屐機嵇跡覬紀蹟基再計宰妓居冀畸姬畿其寄給犄薊飢癘際幾唧箕麂繼擠薺奇譏激季稷髻霽技勣稽載在既悸躋繫嘰濟鯽戟驥饑	
億	屹藝肄軼刈誼囈縊逸佾溢劓疫懿鎰毅義邑液佚役易羿弋裔蜴驛弈帟譯翌異益臆亦艾腋曳詣議意繹憶掖浥翳奕一抑翼衣	漪尾咦姨椅壹蟻飴旖誼偯迤栘移以彝夷已遺沂宜咿醫頤伊噫疑乙怡貽揖訑迆蛇矣圯胰儀一衣痍倚依			僻儅價儂儀儉僵儈
儀	咦姨飴疑怡貽誼訑迤蛇栘移彝夷遺沂圯胰宜一痍頤	漪蟻藝屹肄軼刈誼囈迤縊以逸佾已溢劓醫疫噫乙懿鎰毅揖義迆邑億液役佚易羿倚尾弋裔蜴椅壹驛弈旖譯帟翌異益偯臆亦艾腋曳咿議詣意伊繹憶掖浥翳矣奕一翼抑衣依			僻儅價億儂儉僵儈
僻	辟譬癖屁媲闢	劈披陂仳疲否沘壞琵批啤鼙脾匹丕霹皮痞埤枇陴鈹被罷紕毗疋裨			儅價億儂儀儉僵儈
僵	疆漿江姜將韁薑	匠蔣講彊槳絳將獎醬降強	鎗欣槍鋅心馨芯矜襄鏘腔羌筋襟觔鑲侵廂訢欽巾新金湘親津禁莘鄉薪嶔斤浸嗆瓖辛箱香將搶相昕今	牆信彊祥燼芯秦降縉謹噙橡沁巷進琴芹餉響噤儘覲鄉嗆象撳近想搶錦項詳勁薔擒翔禽瑾繈享檣盡饉晉像勤緊嚮僅禁寢庠浸尋戕釁饗向相強	僻儅價億儂儀儉儈
價	駕架賈假稼嫁	嘉嘎鉀頰甲傢挾迦尬賈莢袈夾佳胛假夏加葭軋浹痂噶戛茄豭家	恰洽下暇嚇夏廈	狎暇俠轄霞斜哈柙挾峽匣洽咖狹卡咳蝦喀黠遐呷瞎瑕	僻儅億儂儀儉僵儈
儂	穠濃噥農膿	弄	龍矓論窿淪隆嚨倫瓏輪聾侖崙籠掄朧綸	攏壟論隴掄	僻儅價億儀儉僵儈
儈	筷劊檜會塊膾快		怪	枴乖拐	僻儅價億儂儀儉僵
儉	繭筧減囝檢撿柬簡揀剪鹼瞼	件檻箋劍健僭見縑艦兼姦韉毽漸殲諫奸艱濺踐監箭間閒肩尖湔薦腱鍵建堅餞鑑鑒菅澗緘賤薦煎	顯蜆癬險銑淺鮮遣譴蘚	簽乾纖峴餡涎黔倩限莧舷暹銜啣韆鈐秈現祆嵌鮮羨鹹仟縴獻仙歉騫虔陷謙牽搴縣賢錢欠僩前塹嫌愆鉛千箝遷籤鹹鉗霰嫻阡姍腺閒絃閑憲弦蜆潛掀先線	僻儅價億儂儀僵儈
儅	噹鐺襠當	黨擋讜當蕩盪檔	湯鏜	燙瑭躺糖搪塘帑膛淌唐儻鏜螳醣趟堂棠倘	僻價億儂儀儉僵儈
凜	懍	痳霖麟鱗藺林鄰燐淋磷吝躪轔遴臨賃琳璘	擰領倆魎兩嶺	檸嚀菱孃粱良櫺娘翎聆昤令晾糧綾靈羚亮梁伶齡蛉拎諒樑您獰凝玲寧擰鴒泠佞苓釀凌陵量鈴另涼濘輛零	
劇	炬苣颶懼具巨踞瞿鉅倨遽屨距俱聚據句鋸足拒	莒咀舉桔疽橘蛆跼車駒俱拘狙侷掬菊局鋸沮鞠居齟矩	敘去恤畜娶洫絮蓄酗婿趣卹漆緒頊勗續旭序	取璩許徐圈鬚砠煦曲區需渠驅咻噓趨嶇墟胥娶劬麴瞿吁戌蛆屈須齲訏蛐軀虛衢栩	劈劉劊劍
劈	壞披鈹被紕匹批丕霹	陂譬疲仳否沘僻癖琵啤闢鼙脾匹媲皮痞埤辟枇陴鈹屁紕罷毗疋裨			劉劊劍劇
劉	留泵琉遛瀏流榴硫瘤	霤鉚柳餾陸六溜	遼寮嘹僚繚燎聊潦寥撩療牛	尿廖扭撩料妞燎了暸拗鈕鳥紐忸瞭嬝裊	劈劊劍劇
劍	件檻健僭見艦漸毽諫濺踐監箭間閒薦腱建鍵餞鑑鑒澗賤薦	箋縑兼姦韉漸殲奸囝艱柬檢簡濺減筧監間肩尖湔剪鹼瞼繭堅菅緘撿揀儉煎	現欠僩霰峴腺餡羨塹縴憲獻歉倩限蜆莧陷縣線	乾簽纖涎黔銑舷銜暹啣韆鈐秈嵌祆鮮仟鹹縴仙騫虔謙牽搴賢錢前遣顯嫌愆鉛千箝遷籤譴鹹鉗癬嫻險阡姍閒閑絃弦蜆潛淺掀先蘚	劈劉劊劇
劊	筷檜會塊膾儈快		怪	枴乖拐	劈劉劍劇
勰	攜協諧鞋偕擷斜邪頡挾脅	蟹邂榭歇屜解寫洩駭屑些卸械瀉懈謝褻契燮蠍楔洩血紲	捷劫拮櫛桔截詰節羯訐傑竭桀睫擷孑結潔頡傑碣	姊階芥皆解街嗟戒揭疥界偕藉誡結姐借介接屆	
厲	栗儷麗礫礪唳痢歷靂力慄立溧蒞癘壢戾曆琍吏笠粒例利釙荔欐俐酈隸蠣勵瀝鬲莉	禮喱澧醴麗犁哩鯉犛貍籬黎娌璃浬釐離理驪邐李鋰梨狸裡罹裡漓蠡蜊俚	暱泥睨膩溺匿逆	妮尼泥霓呢你擬倪怩妳旎	
嘮	勞牢癆	佬烙勞酪老絡姥撈	樓鐃嘍婁撓螻呶橈髏	簍耨瘺瑙鏤摟露漏惱鬧腦陋	嘩噎嘯嘻嘹嘿嘲噴嘰噗嘶嘴噓
嘻	攜曦淅悉熹烯禧犀嬉膝行蜥稀希吸溪畦晰兮析熙釐棲譆谿犧蟋唏晞羲西奚蹊僖	系汐蓆翕戲隙惜習璽徙洗細鰓係媳矽喜息潟夕繫席錫熄歙襲昔檄褶	畸姬畿其璣羈肌犄飢癘雞磯乩幾積唧箕幾奇譏激績期屐機嵇跡勣稽蹟基躋嘰居饑	洎棘疾暨忌祭集脊己騎藉芰劑幾記楫瘠覬紀計級極妓冀戢擊寄輯寂給薊及嫉際幾唧麂繼擠急伋薺吉季圾即稷髻霽技汲吃亟既悸躋籍繫岌濟鯽戟驥	嘩噎嘯嘮嘹嘿嘲噴嘰噗嘶嘴噓
