一,二仄三左旦丁刁下上於兀士幹不天王且丘本甘石百
縱,樅蹤絲從縲緞繳紙繙線綿緲綁紕繡綞維納紗糾總編絡絳終絃糸履
繅,緇絲縲巢錙淄臘輜邋經絃糾縴繒繙獵綵纏綏蠟繼綠細綑糸
繁,紊絲繫累緊紫絮紮素索系縲敏濰喲羅蘊辮糸織鏍漯嫘絛絃
縴,絃縞縲絲織締綏綽絞紡紋縫糸綵絹結絨終絆細統糾
縹,嫖鰾瞟膘標鏢綜漂驃縲緬絲紜蒜縉繪經紆紅繒繙粽纏給絃絰細糸票
繈,絲縲紐綁纖級絃紜糸緻緲紕繡緘緙綠絰統紼紳組紱細紂紉紆約紅糾縿
縵,鏝漫慢鰻幔縲緹饅蔓絲繒織線繹細糸縮縉繙繚緩締繪綰綿綵緇綬續纏
縿,糝滲摻慘絨纏縲絲縛絃緘紱糸縉織繙編線繽綿綵綏絹結絕絡絳紹終紜
縯,演夤縝絲繽緒縲綻綜繡細組紅紆糾縮綰糸縷縑緘緬綞緙綽綠維絞絢絰
罄,聲磬馨罌缶毀疫芟瑤殼陶股投萄燬罈穀遙榣骰殿搖缽淘掏啕缺般殷缸
翳,扇翡栩翱翻翩翔翎翅翮翹羽羿翟翌習翼蓊翕翁褶濯擢翰櫂曜戳瀚煽遢
翼,翌羿翠翟習蓊翁褶濯擢翰櫂曜瀚煽遢榻摺塌嗡
聱,熬贅鼇聶敖聲聞茸爺遨嗷傲聳聾趣攝懾囁躡洱弭鑷
聲,罄磬馨聱聶聞茸疫芟毀殼弭股投聳爺燬穀殿般殷洱段
聰,蔥聒恥聶耳職耿取聊聯聘聆耽耶腮懾傯洱弭茸
聯,聶聆聰職聘耿恥取耳聒耽耶畿關茸溼械拚洱弭聊
聳,慫聶茸躡聱聲聞趣洱弭聾餌椰攝懾囁陬鑷傘爺耳輒耿恥倨取
臆,憶噫億幛暗意樟漳璋鏡幢獐障境黯瘴音蟑諳竭章
臃,擁壅雍甕腋妊腿亥眩骸臆膀骯鉉逞造淫炫弦臍核垓咳肪壬望罔
膺,應鷹截雄隹冉雖攜玥仕集焦崔售錐進椎淮推惟堆唯准
臂,檗擘壁劈璧襞譬蘗辟薜癖避僻闢霹辜薛辛莘宰芾鋅梓
臀,殿澱股疫芟殺殷投殼般段盤腎鍛穀毅毆骰毀設役
膿,濃噥儂穠農體澧禮遭槽醴漕嘈胯脤遵樽膘撙甚
膽,簷瞻澹擔贍蟾譫簷詹胴脰小臉謄膈逼逗脆硼銅桐洞恫峒筒同
臉,儉檢撿瞼殮險簽驗鹼膾洽拾恰哈答給蛤鑰閤合
膾,儈燴檜繪臉會腹劊覃膘潭撢儉僵偷倫佺偭蕈檢罈瞼撿褕銓逾榆幹渝愉
臨,臥臣宦臧藏贓器囂區儼褓臟豎腎鑒堅蟬險褕憚彈嬋除襄簞賢緊嚴單囊
舉,與歟譽嶼摩臼六鼠舀舅掣舂挈兗舊閻搴裒袞冥臾身交稻潟樁滾摘滔搜
艱,難歎跟漢嘆銀齦退根限恨很垠眼狠灘攤痕癱艮
薪,新晰淅廝芹蜥逝嶄撕嘶浙析斤漸慚近斯昕沂折圻聽匠
薄,簿蒲溥膊搏博傅藻莆賻縛浦蕩蔣藩蒞萍菠莎茫范
蕾,擂鐳雷電濡懦嚅燸儒蕃菁黃孺蠕糯灞薑蕈葬芸需芣芋甘優擾壩
薜,癖闢霹避僻薛辟辯辦辨蘗瓣辮莘滓臂檗擘壁辜辛
薑,彊僵疆韁黃芸蕈蕨莖蕾簧葬票三橫會量蘸竺芣芋磺璜
薔,檣牆穡嗇茴薹莓迴蓋稟苒蛔徊蓉蒼菱善茶苔佃回
薯,曙署藷著褚躇者儲箸煮暑屠奢楮渚堵賣曼萬諸睹都
薛,薜辯癖辦辨闢避瓣僻辮霹莘滓辜辛辟宰蘗鋅梓
薇,癥屜屐履徵屨覆樅桁縱蹤徊徇徉律很往微從徠徜徐徒待彿彼役彷行
薨,甍夢蔑葬蘿寰篾還澴遝籮爵環鰥楞愣儸玀囉邏鑼
薊,前莉荊鮪鮭鯉鯧鰓痢廁魚鮫鮑鯽魷鯖鯛鯨鰍鰭鰥鰻鱗鱷
虧,圬污誇聘娉騁佞巧朽兮垮仁鍔跨愕胯惟萼粵雩些三二
蟀,摔蟲蠔蟑蛀蚪蚊虻螃蚣蛟蟲螺蟒螟蟬蝓蜿蛤蛇蛉蛄蚯蚌
蟑,璋樟障漳幛獐蟲瘴蟀蛀蚪蚊虻蟆螃蠔蛟蟲章蟒螟蟬蝶蝙蝗蜢蜴蜿蛇蚣
螳,膛鏜瞠蟲蝸蜷蟲堂蟋螺螟蟯蟬蝠蝙蝗蝓蠔蜻蜢蜈蛤蚣蛙蛔蛀蛄蛆蜩
蟒,蟆蟲蛐蚶蟻蚣蟲蟑螺蟀蝶蝙蜢蜿蜈蛉蚊螳蟋螃螟蟯蟬蟠蝠蝸蝗蝓蟾蜻
蟆,蟒蟲膜模漠摸糢蛐蚶蟲蟑謨蝶蟻蚣蚊寞螟蟠蝠蝸蝙蝗蜻蜢蜴蜈蜂蠣蛤
螫,蟲蝨蠡閩蛋蜇蚤赦蟹蜃融蝕虺蠻蟲蜘強螢蜜蠱赤蟆蟠蝴蝶蝠蝸蠅蟾蜻
螻,蟲褸鏤樓摟嘍縷簍屢髏蛔蛐虻蟲蝨蛙蛀蚶蛆蚱蚯蛄蚌蚪蚜蚊虹蚓蠱
螺,縲鏍漯嫘蟲騾蟈蛔蟠蚣蟲蟀螳蟒蟋蟬蝠蜿蜷蜈嗉蛉蛐絲虻累
蟈,摑幗蟲螺蛔蟲蜩蛐蛆蚯蛄蚶蟠蚣螻蠅蛾蛻蛹蛙蛭蛞蛀蚵蚱蚊蚪蚜蚌虹
蟋,蟲蟠蛛蚱蝗蝙蜂蛾蛞蝌蜊蟲螳螺蝶蜢蜴蜷蛇蚣呼悉
褻,藝熱勢丸襄裹裒衰囈執汍甕壅爹逵孰姨娃卦外
褶,摺濯擢櫂曜習穋膠耀嘐躍僇繆謬廖寥羿翰遢煽榻塌嗡瀚翼蓊翟翌翁
襄,囊孃曩攘壤嚷鑲瓖禳簞器闡萼巖靈喪嬋讓釀裹裒囂衰高京鍔禪憚彈瓤
褸,鏤樓摟嘍簍屢螻縷髏屨袖婁川申坤呻伸裸裡神砷順要
褽,熨慰裁裘裟袈袋依襞製裴裝裂襲衣蔚尉裳屎裔
覬,硯峴莧凱現覦覲靦覜蜆視規筧覓觀剴覺見攪窺
謎,訃諒譴諄誶讓註謫課誚該詨訪訣訕訑訏討計諦諳談識詼
謗,磅諦鎊膀榜滂傍螃訪徬諺諳諒識謫註詐訃謂誼談諄請諉諂諍誶誌認誡
謙,詳諶謹訕計訃譜謫誰諛課誚詢詨註詁詛詐訣訥許記訐討訊託訏訑訂謊
講,遘構溝搆媾購謀諾謨譁譜謊謂誌誡議護謙詳謠謐諦諜諭諳諼誼諒談請
謊,諾謨譁護謀譜誡慌講謙諶詳訕訃謠謐諦諜謁謂諳誼諒談諄請諉諂論諍
謠,諍諼遙調謂瑤榣搖許請詰訖詛訕計講謊謐諜諾謁諦謀諭諳謨誼諒談諉
謝,詩討榭諛誅詬話訴詐訢託諉誥諷謎誑訛訓課訣訕訏訑計訃諺誡誘詻詆
謄,滕勝胖賸謂騰訕計訃謠諼談請諍誡誌詰詼訟課誰誚詳詢註詁詛詐訣訥
謐,諜謂論誡誌詢訑講謊謠諦謀諾謁諭諳諼謨譁譜識譎譏譆譙誼諒談請諉
豁,割裕浴峪俗容谿害鎔瞎拓谷轄熔榕溶訟蓉鉛吩欲卻磊
谿,雞裕浴峪俗豁容溪奚谷蹊鎔幼熔榕鉛溶紛欲卻以腳拗蓉
豳,豚逐豢遽璩邃據噱豕豬豭篆隊喙毅劇墜兮緣切鍚腸煬楊暘陽揚場瘍蠡
賺,嫌貝賄貼敗財購廉縑賭賬販贈賠賤賊貽則謙賑賅贍貯贖兼
賽,賁實搴寨塞寒寶貧鋇簣賞賡騫圓慣損鑽匱貝賸遺韻潰漬嘖隕債臢
購,遘構溝搆媾講賺貝賠賤賊貽贖賄賻賜贈贍賒賂貶貯鉼貼敗財則
賸,臢滕損勝胖漬嘖債眷謄績蹟遺積磧潰騰慣隕鑽賞圓賁
賻,膊溥搏博傅縛賊賤貽鋪贓貯脯貝購賠賜贈賒賂貶贖賭賄補財浦捕埔哺
趨,縐芻盹走起赴趕超趁趙越鈍赳肫沌囤趟飩純噸趣
蹉,嗟蹣磋搓嵯蹲躇踫蹼足踱踐踏踩蹶跆躪跚趺躂躑
蹋,遢榻塌躍翰嗡煽翁瀚蓊曜踢翟習翌羿褶濯擢櫂摺嘐僇翼翠
蹈,踩蹊滔稻跚足蹂蹣蹦踐踏韜跺跎跆躋趴蹉蹄踱踴踹蹟踢躁踝跟跦距跌
蹊,踩溪蹈跚踐跆足蹄踱踴蹣蹦踏蹲躇躊跟跋蹉蹂踹蹟踢踡蹶蹬蹺躁躅跨
轄,轟瞎輻轉車轅輯輸輳輪軾軛軻軏軒軋輾轍輜轔轎輕輛輔輊軸軼軟軌輒
輾,轟碾軔輒車輯軛軋轅輻輪輜輕軾軸軟軒軏軌輞
轂,鍛燬澱緞搬瘢發廄段殼股投擊疫芟穀骰毀殿殺般殷役繫
轅,遠猿轟園車輾轄輳輻輯輜軋輸轉轍輪轎轔輕軾軛輓輊軻軸軼軟軒軔軏
輿,車連庫軍軋褲輦鏈蓮範漣實轟較載運葷暉暈軸渾揮軟軒軏陣軌
避,僻薜癖霹闢辯辟辦辨瓣辮薛滓辛臂檗擘壁辜鋅梓劈譬蘗莘宰
遽,璩據噱邃豳逐豚豕劇豢豬豭瘧濾擄墟噓琥唬瀘遞臚爐號鑪迢鱸
還,澴遝環邏寰儸玀囉鑼懷壞鰥楞愣夢蘿籮薨篾爵甍蔑
邁,癘藕遇禺耦隅偶愚寓萬厲遵遭滿襪躉蹣瞞懵席
邂,懈解蟹踴煥湧渙換喚瘓觼迢牽勇通迭瓊挈奐尾
邀,倣遨放檄激繳族遍竅嗷傲敷僱於敖雇房橄擻鏃撒澈撇撤嫩嗾傚做攸炸
鄹,聚耶邱那鄴鄭鄧鄱鄙鄘郾部都郡郢郊郎郁郃邵祁邢邦驟
醣,酬醜酌酣酥酗配酊酩酉酴醋酸酷醞醒醇醉醃醮酵醴酪醺釀釅
醞,溫慍媼塭醋酉瘟醉醃醮酷醴酩醺酣醒醇酵酸酪釀釅醣醜酴酥酗配酌酊
醜,酥酉醣酣酗配酌酊酷醺酴醋酪酩醒醮酬醞醇醉醃酵酸醴釀釅
鍍,渡踱錢公度鐮械拚戒弁遮賤摭松忪獷擴壙曠誡礦賊貽鋪鈸蔗庶翁庠
鎂,美鉼鉗窯錨錯羔恙姜錐鋅銼鋰鉸對鈸鈿鈕鈑釦釵釙針鎰金羹善苒
錨,錯描瞄苗貓鉼鉗曲錙鐘鐳鈿茵茴鎰鎂菌曹邁鏍懵鉛襪金厲萬弈
鍵,腱健毽建釵梃挺奴蜓涎肄怪聿又雙肇隻庭誕艇鈹鈑馭津鋒鉻筵筆帑
鍊,煉楝揀練闌諫柬瀾攔爛欄蘭籣斕東鈹鈿棟銷鋰銖鉀鈾鈔棵釦陳針釙畔
鍥,楔喫契鈇夭鈽錶燠錡澳懊噢鋒襖鉻駁鉛換鈑拍沃扳妖托扒金齧笑奏忝
鍋,過渦媧堝窩禍蝸萵滑鉛猾銘亂撾骨錚鎬骼鏜鉻鐺朋銅迥炯
錘,捶唾箠綞睡陲垂郵銖鍾鉗鉑鍛鎢銑鈑釩甜甘千
鍾,腫湩董踵種慟重衝動懂銖錘鋰銑鉑鐘鍛鎢鈑釩鏈裡千
鍬,揪愀啾鞦鰍秋秒稍禾琍俐穌酥潘播墦逶倭蕃審痿愁萎秦
鍛,緞澱搬燬段瘢發廄轂殿般殷股投擊疫芟銖仟穀毀殼役繫慇
鍰,煖暖湲援媛緩諼爰鋤銅錚助鋼鍋鎰塚鎮胴天勗脊
鍚,暘腸煬楊揚場暢陽瘍颺銲錫錕鏝鑤傷豕分觴殤湯袒怛坦但逐豚盆忿岔
鍔,愕萼胯垮跨誇儼釅鄂巖嚴雩顎囂憚彈嬋污圬襄誇
闊,活舌括恬閥閭聞閉問門聒甜刮闕闢闆閨閘閑間閒閎開閔閏悶閃閂閻閣
闋,葵睽揆癸閤閻闕閣閔閏開閎閃閂閥門燈橙澄嶝
闌,蘭籣瀾攔爛欄斕閑鍊煉楝揀閉柬練諫閘間閒悶問閃閂闈門嫻
闈,葦圍韓違幃偉緯拿韋閑閉閤闌閏開問閂門嫻闋閻闔關閣闡闆閭閨閩聞
闆,問閭闡橾操閑間閒悶閃閂奩門樞嶇嫗嘔闌閱閨閩聞閘閔閏開閎閉閤櫚
隱,穩阻際隋隔院阮肛癮險隘隕陽隍隄陪陸陰陶陷除陞陋陀阬陌弔背
隸,棣逮噤襟禁示棕宗奈標粽淙捺剽齋禦祭票崇祟
雖,雄截雊碓帷唯准雕離雜錐難維雉稚睢進椎淮推惟堆
霜,霖孀霄雨霞霑霆霪霰霍雯霽雪霏箱露霹霾廂霓震雩霎霉零雲
霞,霆葭遐露雯雨瑕煆暇假霜霖霑霰霹霽豭蝦霏霧霪霍霄雪霎霉零雲靈
鞠,鞘革菊鞋靶勒麴鞅鞣鞍靼鞦韉靴韁鞭韃韆緙霸
韓,違幃偉緯闈葦圍韋拿榦幹廾韜斡韌朝戟缽斬乾笨苯
顆,頻頤穎頡碩頊頌頓煩頂頃顯頰頭頹頜類頗頑頒項須顫
颶,颳颼颱俱具楓瘋嵐風颯諷飄蛆阻箕凰虱祺琪殖欺棋植期脤組淇租祖
餵,餒餞餘飴館餡餾饅饒饑飾飭偎餽餌餅蝕飼飪飩飲飢
騁,聘娉駛駁騾驥馴馬駱騎駝騷騵驃驍驛驗驟驢駢駐駟駒馳馱馭
駿,梭浚峻唆俊竣酸痠駱馭駝駁馱馬騎騷騵騾驕驍驗駢駟駛駒駐馳駙
鮮,癬烊祥蘚洋咩佯穌羋羊庠詳群徉搓嵯嗟氧你蹉磋羼差
鮫,絞鮪鉸校姣咬鯨鮭鯉魷較皎狡鰱鮑跤蛟鱷鯧鰓鱸
鮪,鮫鮭鯉魷鮑鱷鯖鯛鯧鰓鯀鯨鰭鰍鰥鰻鱔鱖鱸鯽鰱
鮭,鯉鮪鱷鮫鮑魷鯧鯛鰓鯀鯨鯖鰭鱔鰍畦鰥鰻鱖鯽鰱
鴻,鶸江鵬鶯鵡鳥鴨鳴釭肛槓扛鴿鴣鵑鵝鵠鵪鵲鴆鴉鴃鶴鳩鷓訌虹缸紅鴕
鴿,鳴鴣鵑鵠鷗鴨鵲鶴鳩鵝鴒鶉鵡鵪鴆鴉鷂鷓鸛鳶鷹鷺
麋,麟鏖塵麂麝麒鑣麓麗鹿毗糜粱屎庇儷灑邐欐曬比
黏,沾佔黍站砧玷拈帖點貼店稚膝漆儲占藷乩涼惦霑圖
點,黜默黠黯黔黷黝玷沾拈佔貼站砧帖黑店黏嘿占墨
黜,點默黠絀黔黯黷黝拙咄黑茁屈嘿出墨壎微勳掘崛倔裡黛窟祟
黝,拗窈默幼點黜黔黠爍黯黷奚勳劫鋤慟拋姒似吆脅玄
黛,岱嘿黑貸袋墨俚童鋰裡理狸浬娌埋哩代蕉裡鯉貍
鼾,劓鼻肝桿汗奸竿軒訐旱瞰橄岸罕幹工敢釭肛槓江扛銲幹稈焊桿捍悍刊
齋,蒜崇齊棕淙捺示蔡察噤鏢襟膘標粽漂嫖宗奈瞟劑際賒綜
叢,茸取蕞最娶業撮陬共耳支暴趣益芰聶鎰鋸鬨寨搴聞塞楫溢鼓寒巽揖港
嚕,櫓漁魯魚鯧鯊鱉鱟鰻鯽鰓鰭鯉鮪鮭鯨鯖鯛喚啗哼鮫鮑魷鱷吹鰍薊
嚮,響饗餉晌鄉向箋襖巍鬼魏朗箴蒐奧幾麼雍廊喬參笞晉高庸唐餽魎魍燠
壙,擴曠獷礦廣域埃墟坩械拚蚶鍍遮摭渡填堪甘戒弁
壘,疊儡墨裡畦園疇圉埋黑田鋰煙裡湮哩娌浬俚薑量童思胃圭重土鯉黠壎
嬸,瀋藩審嬪鄱嫁婉番墦播潘稞蕃繙幡妹翻瀉蟠稼姑妓鞦東禾委
彝,關糸繕縲縊縑緙絲絃縈紫絮紮累素系蘊練嫘綱嗉祥紲細紂
懣,滿席愚英蓆瀟瞞漢巾蹣患恙恭忠芯吊布蒂灘滯瑛怖匝
戳,翟曜櫂擢濯戮羽耀躍栩翁翻翔翅廖扇羿准褶穋翰膠摺榻煽嘐遢塌嗡僇
擴,壙曠獷礦拚摭廣抬摻挨找械拭蚶鍍撼遮渡捶甘箝戒弁
擲,躑鄭挪梆娜哪嘟榔椰朕送郊槨螂瑯綁邶弔爺廊
擾,優擂憂扳燸懦濡孺嚅糯儒蠕鐳恪投擱灞壩抗披反蕾處
攆,轟揮輦扶褲暉運渾琿鏈漣蓮暈葷輝車連軋鰱庫軍
擺,襬罷態熊擇能押批揩攪蜆比毗庇曙燭澤濁獨觸躅鐸鐲髑鉀柙胛呷紕枇
擻,藪數撒撇撤挨嫩攸邀橄遨嗷傲做嫉徽瞰燉墩緻徹澈微黴傚倣埃唉俟矢
擷,頡噸瀕傾澦蘋貳籲碩嶺巔癲頷頜煩頊贛頁囂鬚
斷,繼新斯斬斫祈昕所析近折沂圻聽訢掀斧芹匠斤
曜,櫂擢濯耀躍褶穋膠摺嘐僇翟謬繆廖寥榻遢塌蹋
朦,檬濛矇蒙膜腆臟胴冪膿膳膈湔脰豚朕胼肝且菜塚岡同
檳,臏濱嬪儐殯繽鬢棕梡賓榕檸棺稼粽搾錠暄嫁渲喧傢淙佇植枯枝杖
檬,朦濛矇蒙橫樺模權楛構柑糢樽槽湔械樸棋植柄桐且菜
櫃,匱頤槓貴遺潰簣框貢樞柩顆煩頁責顓頹頻頡碩楨顯頓頊頒頌項頂頃相
檻,濫襤鑑尷藍籃艦監楹溘嗑盞瞌磕蓋錳褊遍偏柵闔盍
檸,濘擰嚀獰寧檳榕棺棕梡榆搾楠植枯枝杖稼榫粽棲楮末
櫂,曜濯擢耀躍穋褶膠摺嘐僇翟謬繆廖寥榻羿翰煽遢塌嗡瀚栩翼翠蓊習翌
檮,濤疇儔鑄禱躊籌壽桔燾檯櫝橈杜桅檣桂蟯棧械栘耘松弱坎樹堠塗堡崁
檯,薹桔臺橈檮櫝杜檣槁拮桂肚樹啁黠橋嬉嘻僖遠結榷碉周吉
歟,與舉譽欽嶼歉欺畝歌欲砍欣炊玖坎吹次撳嶔歐歎歇款飲軟疚
歸,掃婦帚浸侵伺叼帶虐慧彗雪諦啼啃止刁蒂啻帝肯
殯,檳臏濱嬪儐繽鬢殖歹殮殤殘殆死殲殊殉列殃歿
瀉,寫瀋潟濱淙沱濘滓溶渲汁滔嬸燄潸插沽沬沛臼
瀋,嬸藩瀉潘審濱沱鄱濘滓溶渲淙汁番播墦稞蕃幡沬翻
濾,瀘慮爐擄臚鑪廬蘆膚墟噓唬驢鱸盧虜遽據噱琥瘧
瀆,櫝犢續贖黷牘讀竇賣濤澆澤澴濁漫溘涅演法甲
濺,賤鋇員惻側狽贊貴貫貨責潰漬賊貽貝貲賃廁費賀買貸貢
瀑,曝爆鑤暴漫涅濕渴湯汨潠溢港混洪澗潤湄濮共
瀏,測涮洌惻側瀨蜊喇琍捌俐廁硎倒咧冽例淚痢莉荊前
燻,薰醺燃造浩衽妊任壬呈少皓廷燠樵糕憔嘿熄誥酷煌淡啖飪炸炒聖窖望
燼,儘盡盃遣遺潰燃腓排眺啡桃逃俳洮挑姚佻匪簣匱痱菲盔窕屝晁
燾,壽籌檮濤疇儔鑄禱躊堠社坎虱雲彌瀰弼強蚓壞圾
燸,濡懦嚅糯儒孺蠕需擂鐳灞壩蕾擾優煩而亙恆雷電耍耑
獷,擴壙曠礦廣狼猥猜猖狷狩狙狂獲獰獨獗獐猿猾猩猛猙猶猓狽狸狠狡狎
獵,臘邋蠟鬣錙淄輜緇繅瑙腦惱巡巢猥獗猿猖狷災
璧,壁檗擘臂劈襞譬蘗璽辟癖薜闢玉避僻辜霹瑩薛辛
璿,濬瓏睿斑璃琉玨琥玷玟班璩璨璜璋瓖瑤瑁琛玥
甕,壅甍瓦臃擁甄雍瓶瓷甌亥妊褻牽畜衰玄逞造裒衷望多壬互夕遴移通逕
癖,薜闢霹避僻辟薛辦辯辮辨瓣滓臂檗擘壁辜辛劈莘宰蘗鋅梓
癘,邁藕禺愚寓耦遇隅偶厲萬希躉瘩席布襪滿薯夢禹懵勵瞞礪鈽怖佈
癒,瘉愈痊俞偷疙褕瑜榆逾渝愉喻輸蝓瘡崙疹諭倫
瞽,鼙鼕鼓督苜冒渺眷省眉看盲豉相瞥芰篡算懼纂目緲攫湘
瞿,睢瞧懼崔目瞼雛摧攫催霍截雇隹離錐璀椎進淮推惟帷堆唯
瞻,膽贍簷澹擔蟾譫簷詹瞪睽瞼瞎瞳瞬瞧矇瞠瞞瞟瞑瞄睬睜睛睦眸矚眨眩
瞼,臉儉檢撿險殮驗鹼簽瞪瞧睢瞿洽拾恰哈瞻矇瞎瞄睽睬睛睞盯目答
礎,楚磊旋漩疋磴噤碎砭歌破砍胥磷礁磚礫磋磅碾碟碳碣碗硿婿硫碓砧矽
禮,澧體醴磴燈愷瞪蹬橙皚澄嶝壹證祥穠禧膿濃噥儂福祺
穡,檣牆薔嗇稱稜程秒稚稞和稠禾番黍穢穠穗穫稿稼稷稻稔稈稀嵇移稍秣
穢,秒科稿稻稈程禾穗稼稱秤租秘秩秋秈和私番疵香委秀
穠,膿濃噥儂農槽糟樽禮穫澧體番委穡穢穗穩積遵醴稼稷稻遭撙稱漕嘈稈
竄,鼠窮裒窖窄鼬鼴窯窩窟窘窗舀穹空竅竊鼯竇窠窒舂穿突簾究窪窈潟搾
竅,檄激繳邀倣族放窄窮竊遨敷窿窗竄窖搾嗷搾傲
簫,蕭肅鏽嘯筆笛繡爪瀟簍麼竹淵姊簾策筍笠笨第笮笑笆竽竿簣禹臼抓八
簧,黌橫磺璜黃箭箕蕈薑廣箠簸箝蕾算葬竺芣芋甘升貓樺曄嘩四
簪,潛僭既蠶暨概溉慨簡簑竺威崴竿竽築厝箴筮畏猥娼
簞,闡憚彈嬋蟬禪單戰襄囊器萼巖毋追囂靈鎚鍔槌儼愕
簣,匱遺潰貴槓貢積漬嘖債賡賁貧磧賽賞實圓蹟績臢隕損鑽
簡,籣澗間門捫們藺蘭燜嫻僩閑閒悶問冕閃閂櫚瀾攔爛潤欄憫猖晚
糧,量糟糢糕精桿粗粕米查糝糯粹粽楊稈粉粳粒料敉籽糞
織,熾繒縲絃絲統縴職縞締幟絨綽絞紡紋糸縵縉線緹纏綵絹綏結紜絢細紂
繕,膳鱔縲縊結絲絹縑緙糸繞繹縞緝編緯纏續綺綵綸綰綏絨絡給絃紹維細
繞,燒橈鐃曉澆撓嬈驍僥結蟯蹺饒續縲絲綾糸繕繃縐纏綵綏絹絕絨絃紇維
繚,燎遼暸潦撩嘹僚療寮縲絲繒綺糸織縮縵繪縉縊繽線緩緹續綜綿綵絹綏
繡,絲縷紼紳細糾縲糸繩縑緙維絢絆絀組紲紗紋純紐納紂紆約紅紀
繒,織縲憎增僧紛絲細糸繚繙縵繪贈線緹纏綵絹綏結絨絃絢綑層
繙,縲線潘播墦緇絲細蟠總編幡綿綵絡絳終紙綑糸
罈,潭撢譚蕈缸缶覃缽缺罐瞟蟑璋樟漳遙榣搖淘掏啕萄
翹,翔翅栩翻翱翮翩翎扇羽翳翡耀遢榻塌翟翌習翁羿
翻,栩翱翩翔翅翹翮翎扇羽翳翡鄱榻羿瀚戳櫂曜褶濯擢翰穋煽遢摺塌嗡翼
職,熾幟織識聶耳聰毓聆硫琉梳堉唷流耿恥取聯聘疏聒耽耶
聶,攝懾囁躡鑷耳輒茸聒耿恥洱弭取爺聱聞職聰椰陬耽耶
臍,濟擠儕齊薺躋丹霽肪劑朋坍腿齋肚臆臃腋月腴胰胭胼朕胖胛肺肢肱肫
臏,檳濱嬪儐殯繽鬢賓腕靛腔錠暄嫁貯渲棕喧傢脖淙梡佇肺肢
舊,蕉藺閻奮奪崔難錐進椎淮推惟堆唯瞿截雇隹臼雜離礁蹈瞧雕樵稻鐫樁
藏,贓臧臟宦臣臥茨臨勻蓊馮莽苔鑒腎堅茆卸冰蘑蔗豎蓆賢緊鹽茂羿扇翔
薩,剷蔭產窿鏟邢防阬笙鄧隆鄴隨橢鄭鄞郵部婀啊耶郎郁邱祁那邦
藍,籃檻濫襤鑑尷蓋監艦盞闔溘嗑篇盆盍磕瞌盧瘟盡侖鎰褊遍溢偏豔
藐,邈貌搗葩笆芭皂薇籐前莧苜篁脾脈薩箔菔皆蒙萵菜白巴皚腺肥帕
藉,籍藕耕耒模萌昔糢耙草芭芙莫耜措耘耗蘚藺蕞蔓暮摹慕幕墓葛募菁厝
薰,燻醺蕉呈荏壬衽妊任窖造浩廷蕪燕蒸蘸聖望羔告皓飪
薺,齊臍濟擠儕芒霽躋莘芳芷劑齋菽蓑菩荒蕭苗芯昔艾蓮蓄蒿蒂萃廿
薹,檯臺薔蒿蓋苒啁肚塑吉葫周碉桔拮藝髻菱菜善苔圭園黠壕嬉嘻遠僖結
薦,韉茂莆芝蔗莽苔薺蕭蒐菊萸苗芣芯昔芍艾茨蓆廿
蟯,鐃饒燒橈曉澆撓嬈僥繞蛙蟲蹺驍蟲螳蝗蜿蜷蛇蚣蛀
蟬,禪憚彈嬋蟲簞闡蝠蜈蠅蟲單蟠蟀蟑螳螺蠔蝸蜿蛤蛇蚣蛐蛔蛄蚪蚌蝦
蟲,蝨蠡蠱蚤螻蝕搔強虹蟲蛭蚶蛆蚯蚓蚣虺閩蜇蜃蛋螢蜜蟠蟀蟒蟆蟈螺蠅
蟠,蝌蜊蟲蟋潘播幡墦繙蝙蝗蛾蛛蛞蚱蟲螺蝶蝠蜂蛇蚣蛔蛐蕃審
覆,履栗要賈粟薇屐樅屨癥屜蹤縱遷腰溧慄復桁價御從徐
覲,蜆硯規現峴莧覬覦靦鄞覜勤視筧覓觀覺見僅瑾窺
觴,傷殤角觼觔觸斛腸場鍚嘴煬楊暘陽揚瘍暢但颺複解腹瑜愎珍
謨,諾謊譁護譜誡講諳謀詼詳識諜謂議談誌詰詣訟謹謙諶詢訣訕計訃
謹,詳謙諶瑾僅詛訌訏訕訐計訂訃謨譁譜謀諾請謫諫課誰諛誦誣誚誧誠話
謬,嘐膠僇繆穋廖寥櫂曜濯擢褶耀躍摺認診諺詔識譏譙譎謀諧諮謂誼談請
謫,詨訃註誚該詛訪訥訕計謙課誰誧詳詢詁詐訴訣許記訐討訊託訏訑訂謗
豐,豈痘登逗脰短豎富艷豆豔凳愷壹盒合輻磋皚嶝剴凱豉
贅,熬聱鼇賢貨員贊賃資賀貴貸責貫鋇狽贗賈貲費買貿貢側
蹙,慼捉促齪足踐踝踏踩躋跟距跚跆趺趴否躉蹣蹦蹟蹕蹈蹊蹉蹲躇蹶蹬蹺
蹣,蹄躇躪蹉滿蹲瞞踩蹼踫躑足蹦蹈踱踐踏跆跚席
蹦,踹踩足蹣蹈繃蹄踏踐跎跆跚蹟蹉蹊蹶蹺踱踴蹂躁踡跪跺踝躋跟距跑趺
蹤,樅縱從趴跦跌跺踟躑跳踵趺足履蹴躂桁蹕蹼踫踝踞躋跼跡跟跤距跋跚
蹟,債嘖積磧漬績躓責遺潰槓倩趺蹣蹦蹉蹈蹶賸踩踡跪隕損跎足簣匱
