汉字	同音同调	同音异调	近音同调	近音异调	同部首同笔画数
樵	谯瞧憔侨乔桥翘	巧鞘俏雀跷敲撬悄诮橇愀锹鹊壳窍翘峭	仇毬酋泅求裘球梂嚼囚	啾皎娇厩邱揪鸠灸醮蕉九究秋旧浇饺舅跤轿狡鲛疚胶搅韭赳蛟久觉教蚯救姣骄窖玖纠就侥焦詨龟角交椒柩丘礁较臼勦咎酒郊脚缴铰校绞叫矫剿秋鳅	树机朴桦樽橙橘橇橄橡椭桥桡横
机	畸姬畿其玑羁肌犄饥疠鸡矶乩几唧积箕几奇讥激绩期屐嵇迹𪟝稽迹基跻叽居饥	洎棘疾暨忌祭集脊己骑藉芰剂几记楫瘠觊纪计级极妓冀戢击寄辑寂给蓟及嫉际几唧麂继挤急伋荠吉季圾即稷髻霁技汲吃亟既悸跻籍系岌济鲫戟骥	携曦淅熹悉烯禧嬉犀萋膝行蜥凄稀希妻吸欺溪畦晰兮析熙柒厘栖𫍻谿漆牺戚蟋唏羲嘻凄晞西奚戚蹊七僖	歧琪齐席琦耆棋骑妻惜玺祺洗岂绮细碛弃祁乞系启祇期器媳祈讫枝迄息起夕锡锜歙褶昔气其淇旗愒系汐麒翕戏隙习脐徙畦鳍崎鳃圻杞汽奇岐衹矽企喜稽亟潟泣契系憩席熄砌缉袭檄	樵树朴桦樽橙橘橇橄橡椭桥桡横
桡	铙挠蛲娆饶呶	绕瑙恼闹脑扰	楼柔喽唠牢蝼痨蹂劳娄揉髅鞣	佬耨露漏肉老陋络姥捞篓烙瘘劳镂搂酪	樵机树朴桦樽橙橘橇橄橡椭桥横
歙	麝摄舍赦系系矽汐涉叶翕拾潟设夕戏隙系社射细	携烯嬉席赊膝惜玺洗溪舍舌析舍甚媳栖蛇息蟋羲什锡蹊昔褶奢曦淅悉熹禧犀行蜥稀希吸习徙晰畦兮鳃熙厘喜谿𫍻牺唏晞嘻西席奚熄袭僖檄	洎暨寄忌祭蓟骑芰际剂色继涩荠记圾季稷髻霁技纪觊塞既穑悸计瑟啬跻系济妓鲫骥冀	棘玑羁疾肌集脊己藉鸡矶乩积几绩期屐机楫瘠嵇迹迹基级极居戢畸姬畿其击辑寂给犄饥及嫉疠几唧箕麂挤急伋奇吉讥激圾即汲𪟝稽吃亟跻籍岌叽济戟饥	
历	栗俪丽砾砺唳痢雳力栗立溧莅疠坜戾历琍吏笠粒例利厉钋荔𪲔俐郦隶蛎励沥鬲莉	礼喱澧醴丽犁哩鲤牦貍篱黎娌璃浬厘离理骊逦李锂梨狸里罹里漓蠡蜊俚	暱泥睨腻溺匿逆	妮尼泥霓呢你拟倪怩妳旎	
氅	场厂敞	常场畅长裳伥肠昌倡猖鲳苌偿唱娼尝嫦怅尝徜		晨谌尘趁涔藏榇疢瞋辰参沉沈称衬岑仓谶舱宸陈娠沧忱琛臣苍伧	
濂	帘联莲帘鲢奁连涟怜镰廉	炼恋殓潋敛练炼链楝脸	黏年	念辇碾念拈廿撵辗撚捻涊	澡渑浊澧激滪浓泽澳淀澶澴澹
淀	电钿奠殿垫店甸靛玷佃惦	滇巅颠点碘典癫		甜畋腼填腆舔添忝恬天田阗	澡渑浊澧激滪浓濂泽澳澶澴澹
澡	藻早蚤枣	皂遭噪噪灶凿造躁糟燥	帚走沼肘找爪	鄹胄轴妯周昭肇骤炤绉粥著宙赵照周钊棹朝罩邹奏诏胄纣晁陬召揍舟昼招兆咒嘲啁籀皱櫂洲州	渑浊澧激滪浓濂泽澳淀澶澴澹
浓	秾侬哝农脓	弄	龙眬论窿沦隆咙伦珑轮聋仑仑笼抡胧纶	拢垄论陇抡	澡渑浊澧激滪濂泽澳淀澶澴澹
泽	则择贼责笮啧窄咋	仄侧怎	蜇哲折折摘慑辄谪辙褶	浙遮这著蔗螫赭鹧者宅	澡渑浊澧激滪浓濂澳淀澶澴澹
浊	镯著擢酌卓拙濯斫灼琢啄茁	棹涿捉桌	昨作砟	作座左凿做祚柞坐佐	澡渑澧激滪浓濂泽澳淀澶澴澹
澧	礼醴浬理哩鲤逦李锂里里蠡俚娌	俪哩历雳力栗立溧黎琍粒璃离利厉狸俐蛎漓蠡莉鬲栗喱丽犁砾砺唳痢牦貍篱莅疠坜戾历吏笠厘例钋荔骊𪲔梨罹隶郦励沥蜊	你拟妳旎	尼妮霓呢溺怩倪逆匿暱泥睨腻	澡渑浊激滪浓濂泽澳淀澶澴澹
澳	懊奥拗傲	鼇凹熬鏖翱嗷遨媪袄聱敖	呕噢	瓯偶欧区鸥藕殴耦呕	澡渑浊澧激滪浓濂泽淀澶澴澹
激	畸姬畿其玑羁肌犄饥疠鸡矶乩几唧积箕几奇讥绩期屐机嵇迹𪟝稽迹基跻叽居饥	洎棘疾暨忌祭集脊己骑藉芰剂几记楫瘠觊纪计级极妓冀戢击寄辑寂给蓟及嫉际几唧麂继挤急伋荠吉季圾即稷髻霁技汲吃亟既悸跻籍系岌济鲫戟骥	携曦淅熹悉烯禧嬉犀萋膝行蜥凄稀希妻吸欺溪畦晰兮析熙柒厘栖𫍻谿漆牺戚蟋唏羲嘻凄晞西奚戚蹊七僖	歧琪齐席琦耆棋骑妻惜玺祺洗岂绮细碛弃祁乞系启祇期器媳祈讫枝迄息起夕锡锜歙褶昔气其淇旗愒系汐麒翕戏隙习脐徙畦鳍崎鳃圻杞汽奇岐衹矽企喜稽亟潟泣契系憩席熄砌缉袭檄	澡渑浊澧滪浓濂泽澳淀澶澴澹
澹	诞氮蛋淡石旦担惮弹但啖啗	箪丹担耽撢单胆疸	炭探叹碳叹	毯覃昙袒痰潭坛弹谭贪坍谈探滩摊檀坦瘫坛	澡渑浊澧激滪浓濂泽澳淀澶澴
澶	馋谗禅蝉潺孱蟾毚婵单巉缠	忏铲掺谄搀儳铲阐产羼	残惭蚕	孱惨餐璨灿参	澡渑浊澧激滪浓濂泽澳淀澴澹
滪	裕瘉御域吁妪驭喻狱玉欲誉禺熨峪昱燠愈寓愈谕御谷郁预语遇与煜欲芋育聿尉俞堉郁豫浴毓	妤娱瘀宇逾褕竽蝓雨雩渝觎迂渔于语纡与噢龉余余俞欤羽虞盂隅榆敔愚鱼圉禺禹屿舆愉圄淤腴臾谀庾圩瑜予萸于	戊晤恶寤骛物勿悟坞雾兀误务钨𫐄垩	武污鹉巫侮吾亡诬无吴午五乌毋伍恶呜鼯妩于唔怃屋舞圬钨捂污梧芜蜈	澡渑浊澧激浓濂泽澳淀澶澴澹
渑	闽绳悯敏抿愍泯皿闵湣	岷生乘賸玟升民剩胜升牲省笙甥圣盛声升	甚神	瞑砷信渗鸣僧申肾伸呻酩身沁命冥铭参绅慎沈名螟哂明审甚茗沈莘娠深蜃森婶脤暝	澡浊澧激滪浓濂泽澳淀澶澴澹
澴	桓还环洹锾梡寰	涣幻欢换缓唤宦患奂豢皖焕痪梡			澡渑浊澧激滪浓濂泽澳淀澶澹
炽	赤翅斥啻饬敕叱	褫尺耻蚩痴呎踟侈匙痴吃栘齿弛持驰嗤池魑迟墀笞吃	赐伺次厕刺	辞疵此祠雌茨瓷词慈磁差	烫灯炖焖燎熹燐燃烧燄燕
炖	钝囤吨顿盾沌遁盹	蹲趸墩敦惇盹	褪胴洞栋冻动痛恫恸	铜桐僮东豚冬冬潼屯筒臀统懂饨瞳同囤峒董桶彤恫吞通童咚	烫灯炽焖燎熹燐燃烧燄燕
燐	痳霖麟鳞林邻淋磷辚遴临琳璘	吝懔躏蔺凛赁	柠咛菱娘粱良棂娘翎聆昤粮绫灵羚梁伶龄蛉梁您狞凝玲宁拧鸰泠苓凌陵量凉铃零	领拎谅俩魉拧佞令晾酿两量另凉泞辆亮岭	烫灯炖炽焖燎熹燃烧燄燕
烧	捎稍梢	召勺邵绍芍哨少杓韶	艘搜馊搜骚收缫搔飕	叟熟守狩寿受绶嗽手兽瘦嗾授售首薮扫擞嫂	烫灯炖炽焖燎熹燐燃燄燕
灯	登	瞪嶝凳等磴蹬邓		滕籐籐誊疼腾	烫炖炽焖燎熹燐燃烧燄燕
燕	艳堰焰烟谚雁验腌湮赝咽艳殷砚晏研咽奄彦烟胭沿腌餍酽厌淹焉燄嫣宴唁	艳堰俨雁簷砚延妍眼彦烟沿盐腌筵厌岩言燄演宴阎癌焰烟谚验衍腌湮掩魇赝郾咽艳殷岩炎晏偃研兖咽奄簷胭鼹颜餍酽严淹焉嫣唁			烫灯炖炽焖燎熹燐燃烧燄
熹	携曦淅悉烯禧犀嬉膝行蜥稀希吸溪畦晰兮析熙厘栖𫍻谿牺蟋唏晞嘻羲西奚蹊僖	系汐席翕戏隙惜习玺徙洗细鳃系媳矽喜息潟夕系席锡熄歙袭昔檄褶	畸姬畿其玑羁肌犄饥疠鸡矶乩几积唧箕几奇讥激绩期屐机嵇迹𪟝稽迹基跻叽居饥	洎棘疾暨忌祭集脊己骑藉芰剂几记楫瘠觊纪计级极妓冀戢击寄辑寂给蓟及嫉际几唧麂继挤急伋荠吉季圾即稷髻霁技汲吃亟既悸跻籍系岌济鲫戟骥	烫灯炖炽焖燎燐燃烧燄燕
燎	寮廖缭聊潦寥撩疗料辽僚嘹瞭	寮廖缭聊潦寥撩疗料辽僚嘹了暸瞭	留刘尿泵琉浏流瘤溜霤馏遛拗陆硫榴六牛	刘尿柳扭流铆馏钮硫鸟六牛袅嬝留泵琉浏瘤溜妞霤遛拗陆榴纽忸	烫灯炖炽焖熹燐燃烧燄燕
烫	趟	瑭躺糖搪塘帑膛淌唐傥镗螳糖汤堂棠倘	挡当荡荡	党儅当铛挡谠裆当档	灯炖炽焖燎熹燐燃烧燄燕
焖	懑闷	们闷门扪	梦孟	艋蟒莽杗猛氓萌懵锰甍蒙蒙檬蜢芒盲茫虻盟朦忙蒙	烫灯炖炽燎熹燐燃烧燄燕
燃	然髯	苒染冉髯			烫灯炖炽焖燎熹燐烧燄燕
燄	艳晏研堰焰咽谚彦雁沿燕验餍酽赝厌咽淹艳宴唁砚	阎癌俨烟簷衍魇掩湮腌郾咽殷岩炎延研偃妍兖眼奄烟簷胭沿燕盐鼹腌颜筵岩厌严淹言焉演嫣			烫灯炖炽焖燎熹燐燃烧燕
独	髑渎椟读犊黩牍毒	杜蠹堵睹笃赌度镀嘟渡肚都督妒	徒凸荼余涂酴屠突图途	秃土兔吐菟	
璜	韹湟隍磺蝗皇徨凰篁簧黄煌遑惶	幌肓谎洸荒慌晃恍	馄珲混浑魂	荤辊混昏浑婚	玑璟璞璘
玑	畸姬畿其羁肌犄饥疠鸡矶乩几唧积箕几奇讥激绩期屐机嵇迹𪟝稽迹基跻叽居饥	洎棘疾暨忌祭集脊己骑藉芰剂几记楫瘠觊纪计级极妓冀戢击寄辑寂给蓟及嫉际几唧麂继挤急伋荠吉季圾即稷髻霁技汲吃亟既悸跻籍系岌济鲫戟骥	携曦淅熹悉烯禧嬉犀萋膝行蜥凄稀希妻吸欺溪畦晰兮析熙柒厘栖𫍻谿漆牺戚蟋唏羲嘻凄晞西奚戚蹊七僖	歧琪齐席琦耆棋骑妻惜玺祺洗岂绮细碛弃祁乞系启祇期器媳祈讫枝迄息起夕锡锜歙褶昔气其淇旗愒系汐麒翕戏隙习脐徙畦鳍崎鳃圻杞汽奇岐衹矽企喜稽亟潟泣契系憩席熄砌缉袭檄	璟璞璜璘
璘	痳霖麟鳞林邻燐淋磷辚遴临琳	吝懔躏蔺凛赁	柠咛菱娘粱良棂娘翎聆昤粮绫灵羚梁伶龄蛉梁您狞凝玲宁拧鸰泠苓凌陵量凉铃零	领拎谅俩魉拧佞令晾酿两量另凉泞辆亮岭	玑璟璞璜
璟	颈憬景井阱警	竟惊泾靖粳睛精劲静更径兢晶旌京茎痉鲸竞净荆镜菁敬经迳境	醒馑紧仅寝尽觐谨瑾省顷请锦	青邢信心烬馨芯秦筋情倾刑缙磬噙沁进陉琴䜣芹巾兴庆新幸亲噤津尽莘形觐幸惺斤星揿氢顷近硎昕今清欣锌罄矜擎劲蜻襟擒行禽觔鲭侵檠型晴钦性尽金晋勤卿禁仅轻薪嵚杏浸辛寻衅悻姓腥猩	玑璞璜璘
璞	莆葡脯蒲菩濮朴仆钋匍蹼朴	普埔铺浦誧仆溥暴扑扑谱瀑圃曝噗			玑璟璜璘
瓢	嫖	飘缥骠漂剽票瞟			
瓯	欧区鸥殴呕	偶藕耦呕噢	凹	鼇鏖奥嗷媪遨敖澳熬懊翱拗袄傲聱	甍
甍	蒙蒙檬盟虻朦萌懵蒙	艋蜢梦孟猛懵锰	们门扪	焖们懑闷	瓯
瘴	胀丈障账长仗幛涨帐杖	长獐掌漳涨蟑樟彰章璋张	阵枕鸩脏葬朕赈震藏娠奘镇振	祯脏枕诊贞缜真怎针桢斟疹臻赃珍臧砧臜侦榛甄箴	瘸瘘
瘸		缺阕鹊壳确雀榷阙恪怯却	獗蹶劂角孓诀掘𫛞抉鳜决谲脚倔玨崛爵攫觼觉蕨绝厥噱嚼	倔蹶嗟	瘘瘴
瘘	镂露漏陋	楼篓搂喽娄蝼髅	耨烙劳酪闹络	佬铙唠牢痨老姥捞劳瑙挠恼脑呶桡	瘸瘴
卢	芦炉庐胪𬬻鲈泸颅	路卤露鲁掳卤橹鹿麓戮僇碌氯噜鹭陆录穋禄虏赂	榈奴闾驽驴	努弩铝绿律吕缕褛膂女氯旅娄怒侣滤屡虑忸履率	盥
盥	贯惯观罐冠鹳灌	馆棺琯关观莞矜倌管官鳏冠纶		宽髋梡款	卢
瞠	称撑	呈称乘澄丞惩橙秤成逞诚城程承骋盛	琛瞋参	称衬谌岑晨尘趁谶涔榇宸陈娠忱疢臣曾辰沉层沈	瞥瞟瞒
瞒	蛮蹒漫鳗馒	蔓慢屘漫幔曼满缦镘			瞠瞥瞟
瞟	缥漂	飘瓢骠漂嫖剽票			瞠瞥瞒
瞥	撇	撇			瞠瞟瞒
磨	默摩谟没秣漠陌膜摹寞模末脉糢貊蘑墨茉殁蓦莫魔沫	默没谟秣漠陌膜寞抹末模脉糢貊墨殁蓦魔莫摩么摹摸蘑茉沫			砖磬碛
砖	专耑颛	啭赚撰僎篆转传	钻	纂赚钻	磨磬碛
磬	庆罄亲	青卿擎情蜻倾轻鲭氢晴檠顷请清	竟靖烬劲静径缙沁进尽晋痉竞净噤仅禁尽镜觐浸敬揿近迳境	泾颈粳精秦筋谨噙琴巾芹茎津亲尽觐斤经璟锦今惊景睛矜警更擒襟觔禽兢侵瑾晶旌钦京井馑金鲸勤紧仅禁寝荆菁浸嵚憬阱	磨砖碛
碛	汽器愒企讫迄亟泣契憩妻砌缉气弃	歧其淇旗琪齐萋琦耆麒棋凄骑妻祺欺脐溪岂绮畦鳍祁崎杞圻乞奇岐启期柒祇衹祈栖谿稽枝漆戚凄起戚七锜	洎暨寄忌祭蓟骑芰际剂继荠记季稷髻霁技纪觊既悸计跻系济妓鲫骥冀	棘玑羁疾肌集脊己藉鸡矶乩积几绩期屐机楫瘠嵇迹迹基级极居戢畸姬畿其击辑寂给犄饥及嫉疠几唧箕麂挤急伋奇吉讥激圾即汲𪟝稽吃亟跻籍岌叽济戟饥	磨砖磬
御	裕瘉滪域吁妪驭喻狱玉欲誉禺熨峪昱燠愈寓愈谕御谷郁预语遇与煜欲芋育聿尉俞堉郁豫浴毓	妤娱瘀宇逾褕竽蝓雨雩渝觎迂渔于语纡与噢龉余余俞欤羽虞盂隅榆敔愚鱼圉禺禹屿舆愉圄淤腴臾谀庾圩瑜予萸于	戊晤恶寤骛物勿悟坞雾兀误务钨𫐄垩	武污鹉巫侮吾亡诬无吴午五乌毋伍恶呜鼯妩于唔怃屋舞圬钨捂污梧芜蜈	
积	畸姬畿其玑羁肌犄饥疠鸡矶乩几唧箕几奇讥激绩期屐机嵇迹𪟝稽迹基跻叽居饥	洎棘疾暨忌祭集脊己骑藉芰剂几记楫瘠觊纪计级极妓冀戢击寄辑寂给蓟及嫉际几唧麂继挤急伋荠吉季圾即稷髻霁技汲吃亟既悸跻籍系岌济鲫戟骥	携曦淅熹悉烯禧嬉犀萋膝行蜥凄稀希妻吸欺溪畦晰兮析熙柒厘栖𫍻谿漆牺戚蟋唏羲嘻凄晞西奚戚蹊七僖	歧琪齐席琦耆棋骑妻惜玺祺洗岂绮细碛弃祁乞系启祇期器媳祈讫枝迄息起夕锡锜歙褶昔气其淇旗愒系汐麒翕戏隙习脐徙畦鳍崎鳃圻杞汽奇岐衹矽企喜稽亟潟泣契系憩席熄砌缉袭檄	穆颖稣穋
颖	景郢影	缨莹罂樱莺映赢鹦盈应萦英鹰硬蝇萤迎营膺荧婴瑛嬴嘤璎楹茔瀛	瘾听饮縯尹隐蚓引	夤胤银鄞印饮因龈茵淫簷音寅垠湮姻阴吟慇氤荫殷隐霪	穆积稣穋
穆	募牧木慕沐幕睦目苜墓暮	母模牡亩拇姆姥			颖积稣穋
稣	苏位慰魏胃卫苏蔚谓未褽遗尉喂渭畏为酥苏味喂伪	尾娓肃诉维痿纬萎素威韦唯惟潍围桅为崴煨薇逶溯帏苇塑危粟伟洧帷鲔微巍偎蓿俗簌宿闱猥缩速诿违嗉夙委	殊抒橾疏蔬书输枢舒梳	树叔塾菽术淑赎黍恕属述漱竖束熟数庶鼠倏𫉄戍暑孰薯蜀墅疏署曙	穆颖积穋
穋	路露鹿戮麓僇碌氯鹭陆录禄赂	芦卤卢鲁卤掳胪𬬻橹鲈颅炉噜庐虏泸	氯怒绿滤律虑忸率	努弩铝榈吕缕褛膂女奴旅娄闾驽侣驴屡履	穆颖积稣
窥	盔亏	匮睽喟魁傀奎愧夔葵餽揆篑逵溃	闺龟珪圭瑰鲑皈傀规归	鬼桂鳜癸轨跪诡晷柜贵	
篙	睾羔糕高皋膏	搞诰告搅缟槁杲稿	勾句枸钩沟	购构雊媾够扣搆寇铐枸考烤靠扣佝垢遘叩诟狗犒拷口苟	筑篛筛篦笃篡蓑
蓑	梭娑嗦缩莎唆蓑	锁所琐索	说	数硕勺铄蟀朔烁帅率妁	篙筑篛筛篦笃篡
筑	轴竹术筑烛竺躅逐	主杼苎注柱诸朱茱瞩铢嘱属煮铸住渚助伫蛀𫉄拄侏朱诛蛛箸贮驻注猪祝珠株	卒足族嗾	诅租祖俎组阻	篙篛筛篦笃篡蓑
笃	赌堵睹肚	髑杜渎蠹椟读犊黩度镀嘟渡肚都督妒牍毒独	土吐	凸荼兔涂酴图菟秃徒余突屠吐途	篙筑篛筛篦篡蓑
篛	鶸若弱偌				篙筑筛篦笃篡蓑
篡	爨窜		钏串	船舛穿传川喘	篙筑篛筛篦笃蓑
筛		杀骰晒晒	腮鳃塞	赛塞	篙筑篛篦笃篡蓑
篦	弊璧必敝铋薜哔痺箄襞避臂毙庇毕俾愎陛碧贲泌鄙跸蔽诐埤辟闭弼婢秘比壁睥币裨	彼鄙笔逼匕比沘鼻妣			篙筑篛筛笃篡蓑
糕	篙睾羔高皋膏	搞诰告搅缟槁杲稿	勾句枸钩沟	购构雊媾够扣搆寇铐枸考烤靠扣佝垢遘叩诟狗犒拷口苟	糖
糖	糖瑭搪堂塘膛棠唐镗螳	烫汤躺趟帑倘淌傥镗		党儅当铛挡谠裆当荡荡档	糕
缢	屹艺肄轶刈谊呓逸佾溢劓疫懿镒毅义邑亿液佚役易羿弋裔蜴驿弈帟译翌异益臆亦艾腋曳诣议意绎忆掖浥翳奕一抑翼衣	漪尾咦姨椅壹蚁饴旖谊偯迤栘移以彝夷已遗沂宜咿医颐伊噫疑乙怡贻揖𫍙迆蛇矣圯胰仪一衣痍倚依			缚缙萦缟缜绉县缣
缣	笺监间尖肩湔兼奸坚鞯渐菅歼奸缄艰溅煎	件槛剑健僭见舰毽渐谏囝检柬简溅减笕践监箭间闲荐腱键剪建碱睑茧饯鉴鉴涧贱捡拣俭荐	籼签纤阡姗祆嵌鲜仟纤仙愆铅骞千谦暹迁搴掀牵先千签	干岘馅涎黔倩限苋铣舷衔啣钤现羡鲜咸纤歉献陷虔县贤钱欠僩前堑遣显嫌箝谴钳咸癣娴险霰腺闲闲弦宪弦蚬潜浅线藓	缚缢缙萦缟缜绉县
萦	莹嬴迎营楹茔赢蝇瀛盈萤荧	缨罂景郢莺樱映膺鹦婴应瑛英鹰嘤璎颖硬影	垠夤吟银鄞龈淫簷寅霪	瘾听胤印饮因尹茵音湮姻阴縯慇氤荫殷隐引蚓	缚缢缙缟缜绉县缣
缚	氟匐夫蝠绋扶芾幅孚弗辐绂袱福浮伏符菔拂涪怫佛服芙俘	富馥覆附肤俯𫓧复府夫腑腐𫖯甫阜腹赙副傅复釜敷付抚斧孵赴妇莆趺辅咐父麸脯赋负驸伕讣	壶胡蝴鹄胡湖囫葫弧斛瑚糊狐	瓠互琥虎扈许惚唬乎戏呼户忽沪楛沍护	缢缙萦缟缜绉县缣
县	现悬僩漩霰还岘腺馅羡宪献蚬限苋陷旋璿线玄	铉漩纤炫绚涎渲谖显嫌喧铣选舷暹衔旋啣咸籼癣险娴煖暄姗祆闲鲜闲弦轩咸晅宣仙弦蚬萱眩埙掀先贤藓	件槛剑健僭见舰渐毽谏溅践监箭间闲荐腱建键饯鉴鉴涧贱荐	倦笺隽卷镌缣兼奸娟鞯渐绢圈身涓歼囝奸艰检柬简溅笕减卷捐监间尖肩湔眷剪碱睑茧坚菅鹃缄狷捡拣俭煎	缚缢缙萦缟缜绉缣
缟	搞搅槁杲稿	诰告篙睾羔糕高皋膏	狗枸拷考烤苟口	购构雊够媾扣搆寇铐枸钩沟靠勾佝垢扣遘叩诟犒句	缚缢缙萦缜绉县缣
缜	诊枕疹	阵祯鸩枕诊贞真桢针斟朕赈臻震珍砧娠榛侦甄镇振箴	拯长掌怎涨整	证长獐铮正幛藏郑漳涨帧胀政仗增葬蟑璋账章彰瘴睁脏征筝脏狰赠缯峥赃障怔憎曾挣证症帐杖争樟丈臧蒸征臜症丁奘诤张	缚缢缙萦缟绉县缣
缙	觐浸尽烬晋进噤近禁仅劲尽	馑金矜紧津仅禁尽筋襟觐觔斤浸谨瑾锦巾今	竟靖信彊芯罄降劲静径磬橡巷沁绛酱性兴庆幸像痉竞亲净向镜匠幸乡杏呛敬衅揿悻象姓将项相向迳境强	青彊祥馨降情倾镶浆陉兴新亲形疆惺乡呛氢璟香想硎清欣江腔擎蜻更擒鲭𫄶型旌钦僵湘鲸勤荆憬蒋瓖辛寻阱腥将请相强鎗邢墙泾颈枪心粳芯精秦羌刑噙厢省琴缰奖䜣芹茎醒饷响莘讲星经桨顷抢昕惊景锌睛详襄锵姜警蔷行翔禽兢侵享檠晴樯晶京井卿寝庠菁轻薪嵚戕姜飨猩箱	缚缢萦缟缜绉县缣
绉	胄昼宙咒籀皱胄纣	粥轴帚舟妯周肘啁周洲州	皂棹噪肇罩骤炤造奏诏晁召揍赵噪照兆灶躁櫂燥	钊鄹澡遭朝昭藻邹沼爪蚤糟枣晁陬召著走招嘲凿早啁找	缚缢缙萦缟缜县缣
罹	喱璃厘离丽犁牦骊貍篱狸梨黎漓蠡蜊	俪澧醴哩历雳力栗立溧娌琍粒理利厉逦俐蛎蠡俚莉鬲栗礼丽鲤砾砺唳痢莅疠坜戾历吏笠浬例钋荔𪲔李锂里隶郦里励沥	妮尼泥霓呢倪怩	暱泥睨腻溺你拟妳旎匿逆	
羲	携曦淅悉熹烯禧犀嬉膝行蜥稀希吸溪畦晰兮析熙厘栖𫍻谿牺蟋唏晞嘻西奚蹊僖	系汐席翕戏隙惜习玺徙洗细鳃系媳矽喜息潟夕系席锡熄歙袭昔檄褶	畸姬畿其玑羁肌犄饥疠鸡矶乩几积唧箕几奇讥激绩期屐机嵇迹𪟝稽迹基跻叽居饥	洎棘疾暨忌祭集脊己骑藉芰剂几记楫瘠觊纪计级极妓冀戢击寄辑寂给蓟及嫉际几唧麂继挤急伋荠吉季圾即稷髻霁技汲吃亟既悸跻籍系岌济鲫戟骥	
翰	憾悍旱颌銲撼汉捍瀚汗颔焊	含函和韩干汗涵蚶罕鼾喊寒酣	贩泛泛犯范饭梵泛范	繙矾番反藩蕃墦樊凡烦翻钒返幡繁帆	翱翮
翱	鼇熬鏖嗷遨聱敖	凹澳懊奥媪袄拗傲		瓯偶欧区鸥藕殴耦呕噢	翰翮
翮	嗑合盖河郃和纥阖盍核荷貉禾曷劾盒阂何褐合涸	吓郝和诃喝鹤贺暍荷赫呵			翱翰
耨			瘘烙劳镂露漏酪闹络陋	楼佬铙喽唠蝼牢痨老姥捞篓劳瑙娄搂挠恼脑呶桡髅	
膳	鳝扇善禅擅讪疝单缮汕赡煽	扇縿姗删山舢煽跚膻杉衫珊潸闪芟陕	散	三伞散参糁	腻膨
腻	暱泥睨溺匿逆	妮尼泥霓呢你拟倪怩妳旎	栗俪丽砾砺唳痢历雳力栗立疠溧莅坜戾历琍吏笠粒例利厉钋荔𪲔俐郦隶蛎励沥鬲莉	礼喱澧醴丽犁哩鲤牦貍篱黎娌璃浬厘离理骊逦李锂梨狸里罹里漓蠡蜊俚	膳膨
膨	棚彭蓬朋篷鹏硼澎	烹捧抨砰碰澎	盆	喷	膳腻
臻	祯诊贞真针桢斟珍砧侦榛甄箴	震阵娠鸩诊枕缜镇朕赈振疹	睁脏征獐铮正筝狰缯峥赃怔憎漳曾挣增症蟑争樟璋臧蒸征臜丁彰章诤张	拯长证正幛怎脏赠藏障郑涨帧政胀挣证仗帐葬杖整丈账掌症奘瘴	
兴	幸惺性杏星幸悻姓馨腥猩	邢醒性幸馨形行刑惺幸杏星悻姓省陉腥型猩硎	竟泾靖信心粳烬芯馨精静筋缙进䜣巾茎新竞噤津尽莘觐斤经近迳昕境今欣惊锌睛矜劲更襟觔径兢晶旌京尽金晋鲸痉净禁仅荆镜菁浸薪辛敬衅	竟泾颈靖信心粳烬馨芯精筋静缙谨进䜣巾茎新津噤竞莘尽觐斤经璟近锦迳昕境今欣惊景锌睛矜劲警襟更觔径兢瑾晶旌京尽井金馑晋鲸痉紧净禁仅荆镜菁薪憬浸辛敬寻阱衅	
艘	骚缫搔	扫嫂	搜馊搜收捎烧稍飕梢	叟守寿受哨绶嗽嗾售邵绍熟狩芍手少杓兽韶瘦召授首勺薮擞	舱
舱	沧苍伧仓	藏	琛伥猖倡昌鲳瞋参娼	场畅长谌晨倡敞苌尘趁唱涔榇尝疢氅辰沉沈徜尝称常衬岑裳肠偿谶宸陈娠忱厂臣嫦怅	艘
蕊		睿锐瑞			蕃蕞萧蕨荡芜蕈蕙蕉
蕙	讳惠晦喙烩慧绘秽汇彗贿会卉汇诲溃	麾恢诙虫茴晖毁堕灰挥毁贿虺辉悔回会徽回蛔诲			蕃蕞萧蕨蕊荡芜蕈蕉
蕈	汛殉隽徇郡峻濬俊潠训迅逊浚驯讯骏巽竣菌	熏浔巡窘徇薰循醺钧龟军驯勋寻君询均璿洵荀勋旬	汛殉隽徇郡峻濬俊迅训潠逊浚驯讯骏巽菌竣	熏巡浔炯窘徇醺迥雄裙凶钧龟驯勋均询璿匈群琼薰循穹军凶穷寻熊君兄汹洵荀勋胸旬	蕃蕞萧蕨蕊荡芜蕙蕉
蕨	𫛞掘鳜抉獗决谲蹶劂脚倔玨角攫爵孓崛觼觉诀厥绝嚼噱	倔蹶嗟	瘸穴学	穴雪薛靴确雀阙恪怯削却缺阕鹊壳榷血噱	蕃蕞萧蕊荡芜蕈蕙蕉
荡	挡当荡	党儅当铛挡谠裆当档	烫趟	瑭躺糖搪塘帑膛淌唐傥镗螳糖汤堂棠倘	蕃蕞萧蕨蕊芜蕈蕙蕉
