#汉字	同音同调	同音异调
一	壹	漪
撩	聊疗缭辽寥潦燎僚嘹	了料
撒	洒	萨飒
撮	锉错挫搓措
播	剥菠簸薄拨般玻	泊舶渤搏勃驳柏白伯跛博卜脖膊荸
抚	腐斧父俯甫府辅脯	妇赴辐浮缚腹符麸伏拂付附赋福俘负袱夫芙敷傅蝠咐肤富复幅服孵扶副
撬	窍锹峭跷壳翘俏敲	巧桥侨瞧憔乔鹊悄雀
敌	笛的嘀嫡涤芽	弟抵蒂低递帝滴底第地缔
敷	肤麸孵夫	妇赴辐浮缚腹符伏拂付脯附赋斧福父俘负袱甫芙傅蝠咐抚俯府辅富复幅服扶腐副
数	蟀树硕黍术鼠薯曙述蜀束署勺暑帅疏烁属竖庶率恕墅漱	梳殊枢输叔淑说书蔬舒赎熟抒
暮	幕募木慕沐目牧墓穆睦	亩姥姆母拇模牡
暂	栈战占站蘸赞绽颤	盏沾瞻咱崭毡斩展
暴	爆瀑铺刨豹抱报	菩饱薄苞保胞脯朴雹褒宝普扑仆葡堡谱蒲圃浦包
样	漾养	阳羊鸯杨扬痒秧殃氧仰央洋
樟	章张彰	丈涨掌长帐胀杖仗账障
桩	妆装庄	壮撞状
枢	疏殊梳输书蔬舒抒	术鼠曙束署暑属庶恕漱熟树黍叔薯述蜀赎淑数竖墅
标	膘彪	表
槽	曹	草操糙
模	磨蘑膜摩魔摹	漠墨脉陌牧茉穆募木姆沐拇牡睦默么莫沫暮抹母目摸幕姥亩慕末墓寞没
楼	娄	露漏陋搂篓
樊	烦帆繁凡矾	返范犯泛番饭翻反贩
桨	蒋讲奖	将姜浆酱江僵强匠疆缰降
乐	悦越阅勒垃岳肋说耀药粤跃要拗钥月	侥摇么哟夭淆腰遥舀肴谣咬吆约邀窑姚了妖
欧	区殴呕鸥	藕偶
毅	腋邑逸艺肄掖亦意抑义溢疫异役易忆翼衣益亿奕液译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
殴	欧区呕鸥	藕偶
浆	将姜江僵疆缰	桨酱蒋强匠讲奖降
澄	呈成惩程城诚承乘盛橙	称秤撑逞
泼	波坡	泊剖朴魄颇破婆迫
潦	聊撩疗缭辽寥燎僚嘹	了料
洁	节杰竭截捷劫结	接揭皆阶届街界介姊借解诫戒姐芥
浇	交椒蕉胶焦骄礁教娇郊	矫侥搅狡轿叫觉绞饺角窖剿校脚较嚼缴
潭	弹檀痰坛昙谈谭	贪瘫毯碳叹炭探滩袒坦摊
潜	干黔前钱钳	嵌浅千迁欠牵纤签谴铅谦遣歉
潮	朝嘲巢	吵抄钞超炒剿
澎	棚膨砰硼鹏篷烹蓬朋彭	捧碰
溃	诲惠讳贿汇绘愧晦慧会秽	恢虫葵傀茴堕窥回挥魁辉毁徽悔灰盔亏蛔
润	闰
涧	践建溅鉴渐健荐监件键舰间贱剑见箭	坚柬拣捡茧兼简尖检剪俭艰碱减煎歼肩奸
潘	攀	胖叛判般盘畔盼
熟	淑赎叔	售术鼠曙束署书暑属守兽庶手恕漱舒树收梳黍首薯述瘦蜀受寿抒疏殊枢输数竖授蔬墅
熬		澳袄懊拗傲奥凹
热		惹若
奖	蒋讲桨	将姜浆酱江僵强匠疆缰降
莹	荧营迎蝇赢萤盈	影莺鹦婴英应映缨樱景颖硬鹰
璃	离犁厘黎篱狸梨漓丽	李理隶沥礼励历莉吏立砾雳痢粒厉哩力荔例俐利里鲤栗
瘩	搭答达	大打
瘟	温	免紊问吻蚊文闻纹稳
瘤	刘流榴硫留泵琉	铆陆溜柳六馏
瘦	售兽授受寿	收首守手熟
疮	窗囱创	抢幢闯床撞
皱	咒昼宙	肘舟周州粥洲轴帚
盘	般胖	潘叛判攀畔盼
瞎	虾	狭匣洽厦挟暇峡侠下夏吓霞斜辖
磅	傍蚌谤旁棒乓	梆胖膀帮榜螃庞邦绑
确	壳鹊怯雀却	瘸缺
碾	撵捻	年念
磕	苛科蝌棵刻颗	咳坷客课壳渴可克
码	玛蚂吗马	么蟆麻妈骂
稿	搅搞	高糕羔篙告膏
稼	假价嫁贾架驾	佳荚钾挟加家甲颊夏夹嘉茄
谷	骨股凸古鼓滑贾	估沽辜家雇咕告顾姑孤故固
稽	激绩叽启居唧机起几迹基饥箕乞奇肌积其畸岂鸡期讥	纪泣迄妓戚漆籍给荠畦即吃棘脊借脐记急妻嫉七只既鲫级寂气鳍集及继砌济契挤寄凄企祈冀吉骑际枝旗辑栖祭欺季歧剂柒击系计器棋弃技圾汽忌齐溪崎己极疾
稻	道悼到盗倒导蹈	叨刀岛祷捣
窑	侥摇淆遥肴谣姚	么耀夭哟舀腰药乐咬吆要拗钥邀妖
穷	琼
箭	践建溅鉴渐健荐监件涧键舰间贱剑见	坚柬拣捡茧兼简尖检剪俭艰碱减煎歼肩奸
箱	相乡镶厢湘香	像橡项想祥向巷详享响翔象降
范	泛犯贩饭	樊返矾繁烦帆番凡翻反
篇	偏翩扁	片遍骗便
糊	壶狐葫胡蝴弧湖	许呼沪互戏唬户乎护虎忽
缔	的弟蒂递帝第地	笛抵嘀低嫡滴底涤敌芽
练	敛恋炼链	帘怜连脸镰莲联廉
纬	委伟尾苇萎	为卫薇位喂伪尉维胃未味威违偎遗慰蔚微桅谓围唯危魏巍畏
致	智挚治制至秩置窒知滞帜识稚质志	址植直脂掷氏征织执蜘之枝肢值止纸趾职支吱汁芝殖指旨
缅	免冕勉娩	绵眠面棉
编	边鞭蝙	辫便辨辩遍变扁匾贬
缘	猿源辕原援园元袁员圆	远宛渊愿怨冤鸳院
线	现馅陷腺限献县宪	仙嫌显衔闲弦险掀先纤涎舷癣鲜铣贤咸
缎	锻段断	短端
缓		唤环换幻痪宦焕涣欢还患
骂		码玛吗么马蚂蟆麻妈
罢	爸霸脾伯耙啤疲皮坝吧	八巴屁芭疤叭辟靶捌把批拔否霹坏笆跋僻劈披扒匹被譬
翩	偏篇扁	片遍骗便
膛	堂唐糖棠搪塘	淌躺趟烫倘汤
膜	默漠磨墨脉莫沫陌魔茉末蘑摩寞摹模没	抹摸么
膝	悉熙厘畦栖吸携晰析行西牺犀稀嬉希溪蟋	徙习戏息系袭细隙媳喜惜洗昔熄席锡夕
胶	交椒蕉娇焦礁教骄浇郊	矫侥搅狡轿叫觉绞饺角窖剿校脚较嚼缴
肤	敷麸孵夫	妇赴辐浮缚腹符伏拂付脯附赋斧福父俘负袱甫芙傅蝠咐抚俯府辅富复幅服扶腐副
膘	标彪	表
蔗	浙这宅	遮摘折哲着者辙
蔽	庇毙臂毕弊币必避辟泌壁碧璧闭比鄙	逼彼鼻匕笔
蔚	为卫谓位尉喂伪胃未味遗慰魏畏	委伟尾薇苇违维围威偎萎纬唯危微巍桅
莲	帘怜连镰联廉	恋练脸敛炼链
蔬	疏殊枢梳输书舒抒	术鼠曙束署暑属庶恕漱熟树黍叔薯述蜀赎淑数竖墅
蔓	漫幔慢曼	瞒蛮满馒
蔑	灭
蒋	讲桨奖	将姜浆酱江僵强匠疆缰降
卜	泊舶渤搏勃白柏伯博脖薄驳膊荸	剥跛簸玻播拨般菠
蓬	棚膨硼鹏篷澎朋彭	捧碰烹砰
葱	聪从囱匆	丛
蝴	壶狐胡葫糊弧湖	许呼沪互戏唬户乎护虎忽
蝶	碟谍跌叠	爹
蝠	芙辐浮福幅服缚俘袱符扶伏拂夫	妇赴腹麸付脯附赋斧父负甫敷傅咐肤抚俯府辅富复孵腐副
虾	瞎	狭匣洽厦挟暇峡侠下夏吓霞斜辖
蜗	瓜括刮	卦挂寡褂
蝙	边鞭编	辫便辨辩遍变扁匾贬
蝗	黄皇煌凰惶	恍谎荒慌晃幌
蝌	磕苛科棵刻颗	咳坷客课壳渴可克
卫	为谓位尉喂伪胃未味遗慰蔚魏畏	委伟尾薇苇违维围威偎萎纬唯危微巍桅
冲	充	崇宠虫重
褐	合核盖和荷何河禾盒	鹤喝吓呵贺赫
复	附妇赴傅赋富咐父腹负副付	辐浮缚符麸伏拂脯福斧俘袱甫夫敷芙蝠肤抚俯府辅幅服孵扶腐
褒	包苞胞	爆堡饱刨暴薄雹保豹宝抱报
谊	夷疑艺肄意抑仪疫异忆翼衣益奕液毅屹艾一议腋邑逸掖亦义溢遗移姨役易胰宜亿译绎蛇	揖尾医椅乙矣依伊蚁壹已以倚漪
谅	凉量晾亮辆	两俩良粮梁粱
谈	弹檀痰坛昙谭潭	贪瘫毯碳叹炭探滩袒坦摊
谆	屯	准
诞	弹石氮担蛋旦但淡	单胆耽丹
请	顷	亲氢庆倾卿情擎轻清蜻晴青
诸	朱蛛猪珠株	助贮煮住注主柱筑术祝属铸轴拄竹烛蛀嘱驻逐
课	克可刻客	磕苛咳坷科蝌棵壳渴颗
调	条钓掉吊	跳挑叼刁雕碉
谁		睡说税蜕水
论	仑轮抡伦沦
诽	菲匪	啡非废费沸肺肥吠飞
豌	弯湾	玩顽万腕碗宛娩丸完惋婉晚挽
竖	树疏术数述曙庶束署恕墅漱	暑梳殊枢黍输鼠薯叔属蜀淑书蔬舒赎熟抒
猪	朱蛛珠诸株	助贮煮住注主柱筑术祝属铸轴拄竹烛蛀嘱驻逐
赔	陪培	佩坏配胚沛
赏	上晌	尚商裳汤伤
赋	附妇赴傅富复咐父腹负副付	辐浮缚符麸伏拂脯福斧俘袱甫夫敷芙蝠肤抚俯府辅幅服孵扶腐
贱	践建溅鉴渐健荐监涧键舰间件剑见箭	坚柬拣捡茧兼简尖检剪俭艰碱减煎歼肩奸
账	丈涨长帐胀杖仗障	彰掌樟张章
赌	睹肚堵	牍渡督毒杜都读镀度妒独
贤	嫌衔弦舷涎闲咸	仙现馅显掀险陷先腺纤线限铣癣鲜献县宪
卖	迈脉麦	埋买
赐	食厕四刺饲伺肆似次寺	死瓷私司丝词此思差斯慈雌撕祠辞嘶磁
质	智挚植致治值制职至秩直置窒掷知滞帜殖执识稚志	只氏址枝肢芝征织止指纸趾旨蜘支之吱脂汁
趟	烫	淌躺堂唐糖棠膛倘汤搪塘
趣	去促漆错趋卒娶醋簇	曲圈屈蛆粗躯取岖驱区渠
践	建溅鉴渐健荐监件涧键舰间贱剑见箭	坚柬拣捡茧兼简尖检剪俭艰碱减煎歼肩奸
踢	剔梯	屉体提涕啼惕剃替蹄堤题
踏	蹋塌	塔
踩	睬采彩	菜财材猜才裁
躺	淌倘	堂趟唐糖烫棠膛汤搪塘
辉	恢堕挥徽灰	虫茴惠晦讳贿汇回绘毁悔诲慧会溃秽蛔
辆	凉量谅晾亮	两俩良粮梁粱
辈	臂背贝被焙狈惫备倍	卑悲杯北碑
轮	仑抡伦论沦
适	拭势逝室是使柿侍市士世饰试誓氏视恃示式识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
遮	着	宅摘折哲浙这蔗者辙
遭	糟	皂蚤造灶早噪枣躁藻燥凿澡
迁	嵌千牵纤签铅谦	干浅潜欠黔谴前钱钳遣歉
邻	临淋鳞琳林磷	凛赁吝躏
郑	政正症证挣	丁征整睁拯狰筝怔蒸争
邓	瞪凳蹬	等登灯
醇	淳唇纯	春蠢
醉	罪最	嘴堆
醋	错促趋卒趣簇	粗
锌	欣薪新辛心芯	衅信寻
销	嚣哮削宵硝箫萧消	孝晓肖校小笑酵效学啸
铺	暴瀑仆扑	菩葡浦朴谱蒲圃普脯
铐	靠	考拷烤
锄	储橱除厨雏	矗畜初触楚处础出
铝	侣履屡旅娄缕吕	氯滤律绿虑驴率
锐	瑞	蕊
锉	挫撮措错	搓
锋	丰疯峰风封枫讽蜂	奉凤缝逢冯
阅	悦越耀岳药粤跃说乐钥月	约
震	阵镇振枕	诊疹侦珍斟榛针贞真
霉	媒煤枚梅楣玫眉没	美每昧媚妹
靠	铐	考拷烤
鞍	安庵氨	按案暗岸俺
鞋	挟协携谐斜邪胁	骇屉谢屑写蟹卸契些泻楔歇解懈械血
巩	共拱矿汞	宫红弓攻蚣躬工公贡恭功供
刮	瓜蜗括	卦挂寡褂
养	样痒氧仰漾	阳羊鸯杨扬秧殃央洋
饿	噩愕俄遏恶鳄扼哑	阿额讹鹅蛾
馁	哪	内
驼	驮鸵	拖椭托唾脱拓妥
驻	助住注柱祝铸蛀	朱贮煮蛛主猪拄筑术珠属轴竹烛逐诸嘱株
驶	屎使史始矢	拭提匙势室施时柿侍拾饰誓狮氏实诗恃什示石食十式事射释嗜适尸失逝硕是虱士蚀市世试视识师湿
驾	架价稼嫁贾假	佳荚钾挟加家甲颊夏夹嘉茄
驹	拘蛆沮居车俱锯	鞠聚巨剧距橘具拒惧炬举矩局句据菊足
发	法	阀乏伐罚筏
闹		挠恼脑
魄	泊朴破迫	剖波颇坡婆泼
鲁	虏卤	露录卢鹿氯炉陆芦颅路庐赂碌
鸦	押鸭压呀	牙蚜轧雅讶涯衙亚芽哑
麸	肤孵敷夫	妇赴辐浮缚腹符伏拂付脯附赋斧福父俘负袱甫芙傅蝠咐抚俯府辅富复幅服扶腐副
黎	离犁厘篱狸梨漓丽璃	李理隶沥礼励历莉吏立砾雳痢粒厉哩力荔例俐利里鲤栗
墨	默漠磨脉末沫莫膜陌寞茉没	么蘑摩魔抹摸摹模
齿	耻侈尺	翅匙斥驰迟池赤持吃嗤弛
儒	如蠕	女入辱褥乳
尽	进紧锦劲仅谨禁浸近晋	津金斤巾今筋襟
冀	际纪妓荠祭季记剂系既计鲫继技济忌寄骑	叽稽给籍即吃棘脊唧借急几嫉迹基集级箕寂饥及奇挤积畸吉讥激绩辑居机击圾肌其己鸡期极疾
凝	拧狞柠宁	泞
剂	际纪妓荠祭季记系既计鲫继技济忌寄冀骑	叽稽给籍即吃棘脊唧借急几嫉迹基集级箕寂饥及奇挤积畸吉讥激绩辑居机击圾肌其己鸡期极疾
当	铛裆	挡荡档党
噩	愕俄遏饿恶鳄扼哑	阿额讹鹅蛾
吨	囤盹盾顿钝	墩蹲敦
噪	皂躁造灶燥	蚤糟早枣遭藻凿澡
器	泣迄气弃砌汽契企妻	戚稽畦漆脐七只鳍奇凄祈骑枝旗启栖欺起歧柒乞棋齐其溪崎岂期
壁	庇毙臂毕弊币必避辟泌碧璧闭比蔽鄙	逼彼鼻匕笔
垦	肯恳啃
坛	弹檀痰昙谈谭潭	贪瘫毯碳叹炭探滩袒坦摊
奋	愤粪分份忿	粉芬吩焚纷氛坟
学	穴	靴哮肖削宵雪笑硝校萧消啸孝嚣晓小箫销酵效薛血
导	道悼到稻盗倒岛祷蹈捣	刀叨
宪	现馅陷腺线限献县	仙嫌显衔闲弦险掀先纤涎舷癣鲜铣贤咸
凭	苹萍平评屏坪冯瓶	乒
惫	臂背贝被辈焙狈备倍	卑悲杯北碑
忆	腋邑逸艺肄掖亦意抑义溢疫异役易翼衣益亿奕液毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
憾	旱焊悍翰撼捍汗汉	罕韩喊寒和函涵含酣
懊	澳傲奥拗	袄熬凹
懈	骇屉谢屑蟹卸契泻楔解械	鞋写挟协些携谐歇斜邪血胁
战	栈暂占站蘸绽颤	盏沾瞻崭毡斩展
擅	善单扇赡膳	闪衫山陕杉删珊
拥	泳佣蛹踊咏勇庸永	用
挡	党荡档当	铛裆
撼	旱焊悍翰憾捍汗汉	罕韩喊寒和函涵含酣
据	聚巨剧距具拒俱惧炬句锯足	拘鞠蛆沮居车橘驹矩举局菊
择	窄泽贼则责	怎侧
擂	累泪类雷	垒儡勒蕾
操	糙	草槽曹
捡	柬拣茧检简俭剪减碱	践尖建鉴歼健监涧键兼贱肩箭溅渐荐坚艰舰煎间件剑见奸
擒	勤秦琴禽芹	侵亲钦寝
担	诞弹单石氮旦耽蛋丹但淡	胆
整	拯	丁政正征筝怔证症狰郑睁挣蒸争
历	立吏砾雳丽痢隶沥粒励厉力荔莉例俐利栗	李离礼犁厘理哩黎篱狸梨漓璃里鲤
晓	小	哮肖削宵笑硝校萧消啸嚣孝箫销酵效学
昙	弹檀痰坛谈谭潭	贪瘫毯碳叹炭探滩袒坦摊
朴	菩仆葡蒲脯	瀑浦谱暴铺圃普扑
桦	豁化划画话滑猾华哗	花
橙	呈成惩程城诚承乘盛澄	称秤撑逞
横	恒衡	哼
橘	局鞠菊	聚蛆沮居车具俱炬举锯句据拘巨剧距拒驹惧矩足
树	疏术数述竖庶束署曙恕墅漱	暑梳殊枢黍输鼠薯叔属蜀淑书蔬舒赎熟抒
橄	感赶敢秆杆	干肝竿甘柑
椭	妥	拖托唾脱拓驮驼鸵
橡	像相项向乡巷象	想祥箱镶厢详享响湘翔香降
桥	侨瞧憔乔翘	巧窍峭锹跷撬壳俏鹊敲悄雀
机	激绩叽稽居唧几迹基饥箕奇肌其积畸鸡期讥	纪妓即给籍荠吃棘脊借急记嫉既鲫级集寂及继济挤寄冀吉骑际辑祭季剂击系计技忌圾己极疾
历	立吏砾雳丽痢隶沥粒励厉力荔莉例俐利栗	李离礼犁厘理哩黎篱狸梨漓璃里鲤
淀	店垫殿甸玷佃奠电惦	颠典点碘
澡	蚤藻早枣	皂躁造糟灶噪遭燥凿
浓	农脓	弄
泽	窄择贼则责	怎侧
浊	卓茁灼拙着啄琢酌	桌捉
澳	懊傲奥拗	袄熬凹
激	绩叽稽居唧机几迹基饥箕奇肌其积畸鸡期讥	纪妓即给籍荠吃棘脊借急记嫉既鲫级集寂及继济挤寄冀吉骑际辑祭季剂击系计技忌圾己极疾
烧	稍梢捎	芍少勺绍召哨
灯	登	凳等瞪邓蹬
燕	谚咽淹焰艳奄雁验烟沿堰厌唁砚宴殷研	严炎演颜阎延衍癌盐言眼掩
燎	撩聊料疗了缭辽寥潦僚嘹
烫	趟	淌躺堂唐糖棠膛倘汤搪塘
燃	然	染
独	牍毒读	肚渡堵督杜都睹度镀妒赌
瓢		漂飘票
瘸		怯鹊却确缺雀壳
卢	芦炉庐颅	露录鹿氯卤陆路鲁虏赂碌
瞒	漫蛮馒	满曼幔慢蔓
磨	默漠墨脉莫沫陌魔茉末蘑膜摩寞摹模没	抹摸么
砖	专	传撰赚转
御	域裕玉愈尉育誉浴寓欲芋狱郁与豫预遇语吁谷喻	逾予雨屿迂于愉渔榆鱼娱舆隅愚羽淤宇
积	激绩叽稽居唧机几迹基饥箕奇肌其畸鸡期讥	纪妓即给籍荠吃棘脊借急记嫉既鲫级集寂及继济挤寄冀吉骑际辑祭季剂击系计技忌圾己极疾
颖	影景	鹦婴蝇应映缨赢萤硬荧莺营迎英樱莹盈鹰
穆	幕募慕木暮沐目牧墓睦	亩姥姆母拇模牡
窥	盔亏	傀葵魁愧溃
篙	糕羔高膏	稿搅搞告
筑	术轴竹烛逐	助朱贮煮住注猪主珠柱蛛祝属铸拄蛀诸嘱驻株
篡	窜
筛		晒杀
糕	羔篙高膏	稿搅搞告
糖	堂唐棠膛搪塘	淌躺趟烫倘汤
缚	芙辐蝠浮福幅服俘袱符扶伏拂夫	妇赴腹麸付脯附赋斧父负甫敷傅咐肤抚俯府辅富复孵腐副
县	现馅陷腺漩线玄悬限旋献宪	喧仙嫌弦炫癣闲掀选纤宣衔险先轩涎舷鲜贤咸显铣
翰	旱焊悍撼憾捍汗汉	罕韩喊寒和函涵含酣
膳	善单扇赡擅	闪衫山陕杉删珊
腻	泥溺逆匿	你拟尼呢
膨	棚硼鹏篷澎蓬朋彭	捧碰烹砰
兴	腥星性姓猩杏幸	邢行型刑醒形
艘	骚搔	嫂扫
舱	苍仓沧	藏
蕊		锐瑞
荡	挡当	铛裆档党
蕉	交椒娇胶焦礁教骄浇郊	矫侥搅狡轿叫觉绞饺角窖剿校脚较嚼缴
萧	嚣哮削宵硝箫销消	孝晓肖校小笑酵效学啸
芜	蜈无巫诬亡梧吴	于务伍雾午乌舞勿武五呜污悟屋恶晤误物坞捂侮鹉
螃	膀庞旁	胖乓磅
螟	鸣铭明名	命
蚂	码吗玛马	么蟆麻妈骂
萤	荧营迎蝇赢莹盈	影莺鹦婴英应映缨樱景颖硬鹰
融	溶荣绒蓉榕熔容茸	冗
衡	恒横	哼
褪		吞囤臀屯
裤	库酷	窟枯苦哭
褥	入辱	女蠕如乳儒
亲	侵庆钦	勤秦倾卿情顷寝清请蜻晴青芹氢擒琴禽擎轻
谚	淹咽焰艳宴雁沿验研燕堰砚厌唁	严炎演颜奄延烟阎殷衍癌盐言眼掩
讳	诲惠贿汇绘晦慧会溃秽	恢虫茴堕回挥辉毁徽悔灰蛔
谋		某
谍	碟蝶跌叠	爹
谐	鞋挟协携斜邪胁	骇屉谢屑写蟹卸契些泻楔歇解懈械血
诺	糯懦	挪娜
谒	页咽夜业叶射	爷野椰也冶
谓	为卫位尉喂伪胃未味遗慰蔚魏畏	委伟尾薇苇违维围威偎萎纬唯危微巍桅
讽	丰疯奉峰风封枫锋凤缝蜂	冯逢
豫	域裕玉愈尉育誉浴寓欲芋御狱郁与预遇语吁谷喻	逾予雨屿迂于愉渔榆鱼娱舆隅愚羽淤宇
猫		贸冒毛茅矛锚貌帽茂
赖	癞	莱来
蹄	题提啼堤	剔屉体涕梯惕剃替踢
踱	堕舵惰跺驮度	躲朵夺多
踊	泳蛹拥咏勇永	庸用佣
蹂	柔揉	肉
辐	芙蝠浮福幅服缚俘袱符扶伏拂夫	妇赴腹麸付脯附赋斧父负甫敷傅咐肤抚俯府辅富复孵腐副
辑	即籍吃棘脊唧借急嫉击级集寂及圾吉极疾	纪叽妓稽给荠记几迹既鲫基饥箕继奇济挤积寄畸冀骑讥际激绩居祭机季剂系计技忌肌其己鸡期
输	疏殊枢梳书蔬舒抒	术鼠曙束署暑属庶恕漱熟树黍叔薯述蜀赎淑数竖墅
辨	辫便辩遍变	蝙扁匾边鞭编贬
办	半扮拌伴绊瓣	班板扳搬颁版般斑
遵	尊	俊
选		喧炫轩漩玄悬旋宣县
迟	匙驰池持弛	翅斥赤吃尺嗤齿耻侈
辽	聊撩疗缭寥潦燎僚嘹	了料
遗	夷卫为疑位喂伪尉胃未味仪移慰姨蔚胰宜谓谊蛇一魏畏	委医艺肄维意威抑偎伊疫异漪忆翼衣益奕液苇毅围屹艾依已议以巍倚腋邑薇逸掖椅乙违亦义溢萎纬役易微桅伟揖尾亿绎译唯蚁矣危壹
醒	省	邢行型刑腥性星兴姓猩杏幸形
锭	订定钉	丁盯叮鼎顶
锯	聚蛆沮居车具俱炬句据拘巨剧距拒驹惧足	鞠橘矩举局菊
锰	猛	蒙萌梦孟檬朦盟
错	锉促挫趋卒撮措趣醋簇	粗搓
钱	干潜黔前钳	嵌浅千迁欠牵纤签谴铅谦遣歉
钢	扛岗纲冈缸肛刚	港
锡	习袭息媳昔惜熄席	悉熙厘畦徙戏隙西喜牺希膝栖吸洗携晰析系行夕犀稀溪嬉蟋细
录	露鹿氯陆路赂碌	卢炉卤芦颅鲁庐虏
锥	椎追	坠缀赘
锦	尽仅紧谨	津进金斤劲巾禁浸近今筋晋襟
阎	炎颜延沿研癌盐言严	淹谚咽唁演艳焰掩奄宴雁烟验殷衍燕堰眼厌砚
隧	祟穗岁碎遂	随髓虽
随		祟穗岁碎隧虽髓遂
险	鲜显铣癣	仙嫌馅衔弦先腺线涎舷闲贤县咸现掀陷纤限献宪
雕	刁叼碉	钓掉吊调
霎	厦煞	傻沙砂杉杀纱
霍	豁或获货祸惑	活和伙火
静	径境竞净劲敬靖竟镜	颈兢惊鲸经精睛阱荆茎井警京更景晶
颊	挟夹荚	佳钾加价架甲夏嘉驾家稼嫁贾假茄
颈	警景井阱	兢惊径境竞荆茎靖京竟镜鲸经精睛静净劲敬更晶
频	贫濒	品拼聘
头	投	偷透
颓		推退腿蜕
餐	参	惭惨残灿蚕
馆	管	观惯官棺冠贯罐灌关
馅	现陷腺线限献县宪	仙嫌显衔闲弦险掀先纤涎舷癣鲜铣贤咸
肴	侥摇淆遥谣窑姚	么耀夭哟舀腰药乐咬吆要拗钥邀妖
骇	屉谢屑害蟹卸契泻楔解懈械亥	咳还鞋写挟协些携谐歇孩斜邪血胁海
骆	烙洛落酪络	箩萝锣骡裸螺罗逻
鸵	驮驼	拖椭托唾脱拓妥
鸯	央秧殃	阳羊养杨扬痒样氧仰洋漾
鸭	押压鸦呀	牙蚜轧雅讶涯衙亚芽哑
鸳	宛冤渊	远源猿辕原愿怨援缘园元袁院员圆
默	漠磨墨脉末沫莫膜陌寞茉没	么蘑摩魔抹摸摹模
黔	干潜前钱钳	嵌浅千迁欠牵纤签谴铅谦遣歉
龙	咙隆胧窿笼聋	拢垄
龟	傀蚯归规君钧瑰均丘秋军闺	贵跪囚菌窘骏鬼峻诡桂柜求竣仇球俊轨
优	悠忧幽	佑尤由游友邮犹又油诱有幼右
偿	场长常尝肠裳	唱昌厂畅倡敞猖
儡	垒累蕾	勒泪擂雷类
储	锄楚橱除处础厨雏	矗畜初触出
励	立吏砾雳丽痢隶沥粒厉力荔历莉例俐利栗	李离礼犁厘理哩黎篱狸梨漓璃里鲤
嚎	鹤壕号毫豪	浩镐耗好蒿
吓	贺鹤厦和荷暇喝下夏赫	合虾狭匣洽核盖挟何峡河侠瞎禾辖霞斜盒呵褐
壕	鹤号毫嚎豪	浩镐耗好蒿
压	押鸭鸦呀	牙蚜轧雅讶涯衙亚芽哑
婴	莺鹦英应缨樱鹰	荧影营迎莹蝇映赢萤景颖硬盈
屿	予雨与语羽宇	于愈愉榆浴淤狱渔娱豫舆隅遇谷喻域逾裕玉尉育誉鱼寓欲愚御迂郁预吁芋
岭	领	凌灵另菱令玲伶蛉铃陵龄翎零
岳	悦越阅耀药粤跃说乐钥月	约
帮	傍梆邦	蚌谤旁膀榜磅棒绑
弥	谜迷靡糜	密咪蜜米秘觅泌
徽	恢堕挥辉灰	虫茴惠晦讳贿汇回绘毁悔诲慧会溃秽蛔
应	莺鹦婴英映缨樱硬鹰	荧影营迎景蝇赢萤莹颖盈
懂	董	东冻栋冬洞动
恳	肯垦啃
懦	糯诺	挪娜
戏	呼系乎隙忽夕细	悉熙狐沪厘习畦唬惜虎胡锡湖徙媳西喜牺希弧膝互息栖户吸洗携葫晰熄析席许壶行袭昔犀稀嬉溪蟋护糊蝴
戴	贷袋带大待逮代怠	歹呆
擎	倾情晴	亲氢庆卿顷轻请清蜻青
击	辑即籍吃棘脊唧借急嫉级集寂及圾吉极疾	纪叽妓稽给荠记几迹既鲫基饥箕继奇济挤积寄畸冀骑讥际激绩居祭机季剂系计技忌肌其己鸡期
挤	给济脊己几	纪妓叽即稽籍荠吃棘唧借记急嫉迹既鲫基集级寂及饥箕继奇积寄畸冀吉骑讥际激绩辑居祭机季剂击系计技忌圾肌其鸡期极疾
拧	凝狞柠宁	泞
拟	你	尼呢逆溺泥匿腻
搁	戈割胳哥鸽疙歌	阁合格革隔葛蛤各个
敛	恋炼练链	帘怜连脸镰莲联廉
毙	庇臂毕弊币必避辟泌壁碧璧闭比蔽鄙	逼彼鼻匕笔
曙	树疏术数述竖庶束署恕墅漱	暑梳殊枢黍输鼠薯叔属蜀淑书蔬舒赎熟抒
檀	弹痰坛昙谈谭潭	贪瘫毯碳叹炭探滩袒坦摊
档	党挡	铛裆荡当
检	柬拣捡茧简俭剪减碱	践尖建鉴歼健监涧键兼贱肩箭溅渐荐坚艰舰煎间件剑见奸
毡	沾瞻占	栈暂盏战站蘸崭绽颤斩展
泞		拧狞能凝柠宁
滨	缤宾彬濒	鬓
济	纪际妓给荠祭脊记季剂几系既计鲫继技忌挤寄己冀骑	叽稽籍即吃棘唧借急嫉迹基集级寂及饥箕奇积畸吉讥激绩辑居机击圾肌其鸡期极疾
蒙	萌盟朦檬	梦锰猛孟
涛	滔萄逃淘陶桃掏	讨套
滥	缆烂	拦览蓝懒澜榄篮揽栏兰
